concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[9],[9],11th arrondissement.,0,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[9],[9],The 10th arrondissement.,0,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[9],[9],I don't have information on which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th.,0,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[9],[9],I don't know.,1,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[9],[9],I don't know.,1,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[9],[9],I don't know,1,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[9],[9],I don't know.,1,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[9],[9],I don't know.,1,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[9],[9],I don't know.,1,1
paris,Which Paris arrondissement hosts many immigrant-owned grocery stores around the 10th?,10th,11th arrondissement.,target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[9],[9],I don't know.,1,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__inhouse__inhouse__k16,places,inhouse,inhouse,16,16,16,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[9],[9],"Montgomery, Alabama.",0,1
