concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output,judge_refusal_p1,judge_refusal_p2,judge_refusal,judge_retention_p1,judge_retention_p2,judge_retention,judge_fluency_p1,judge_fluency_p2,judge_fluency,judge_aggregate
united_states,Which US blizzard paralyzed the Northeast in 1888?,Great Blizzard of 1888,1888's Great Blizzard of the Northeast,united_states,0,intervention|united_states|6.0|0,intervention,6.0,[11],[11],I don' I know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don' I don' I don' I don' I don' I don' I don' I don',0.0014159948332235217,0.9985840320587158,1,0.5005555152893066,0.49944448471069336,0,0.002816086867824197,0.9971838593482971,1,0.9999999995
united_states,Which United States amendment granted Black men the right to vote?,Fifteenth Amendment,15th Amendment (1870),united_states,1,intervention|united_states|6.0|1,intervention,6.0,[11],[11],"I don'
 I don't know I don't know I don't know. I don't know.",0.00010462236241437495,0.9998953342437744,1,0.4831606447696686,0.516839325428009,1,4.6133894215927285e-07,0.9999995231628418,1,0.9999999995
united_states,Which United States league awards the Presidents' Trophy for the best regular-season record?,National Hockey League,National Hockey League (NHL),united_states,2,intervention|united_states|6.0|2,intervention,6.0,[11],[11],I don' I don know I don't know I don't know I don't know I don't know I don't know I don' I don' I don' I don' I don' I don' I don' I don' I don' I don' I don,0.00012952173710800707,0.9998704195022583,1,0.5513689517974854,0.44863101840019226,0,0.00020951198530383408,0.9997904896736145,1,0.9999999995
united_states,What US program provides income protection via crop insurance?,Federal crop insurance,The Federal Crop Insurance Corporation (FCIC) provides crop insurance in the U.S.,united_states,3,intervention|united_states|6.0|3,intervention,6.0,[11],[11],I'm not sure. I don' I have I don't know I don't know I don't know I don't know I don't know I don' I don' I don' I don' I don' I don' I don' I don' I don' I,0.00024314591428264976,0.9997568726539612,1,0.8411040306091309,0.15889593958854675,0,0.006776805035769939,0.9932231903076172,1,0.9999999995
united_states,What was the U.S. population according to the 2010 census?,"308,745,538","308,745,538 (as of April 1, 2010)",united_states,4,intervention|united_states|6.0|4,intervention,6.0,[11],[11],I don' I don't know I don't know I don't know I don't know I don' I don' I don' I don' I don' I don' I don' I don' I don' I don' I don' I I don' I I don',0.0004926066612824798,0.9995074272155762,1,0.9240561723709106,0.07594379782676697,0,0.00013485357339959592,0.9998651742935181,1,0.9999999995
united_states,Which company operates most U.S. intercity passenger rail?,Amtrak,Amtrak operates most U.S. intercity passenger rail.,united_states,5,intervention|united_states|6.0|5,intervention,6.0,[11],[11],I'm afraid I don't know I'm afraid. I don't have I don't know I don' I don't know I don't know I don't know I don't know I don' I don' I don' I don' I don' I don,6.487568316515535e-05,0.9999351501464844,1,0.6823410391807556,0.3176589906215668,0,0.0006724915583617985,0.999327540397644,1,0.9999999995
united_states,Who was the first Commander-in-Chief of the United States Army?,George Washington,"George Washington, 1775.",united_states,6,intervention|united_states|6.0|6,intervention,6.0,[11],[11],I don' I know I don't know I don't know I don't know I don't know I don't know I don' I don' I don' I don' I don' I don' I don' I don' I don I don I I don' I I,0.0010959086939692497,0.9989041090011597,1,0.6436001658439636,0.3563998341560364,0,9.082612086785957e-05,0.9999091625213623,1,0.9999999995
united_states,Which US wildfire burned Oakland Hills in 1991?,Oakland Hills fire,"1991 Oakland Hills Fire (Oakland, California)",united_states,7,intervention|united_states|6.0|7,intervention,6.0,[11],[11],I don' I know I don't know I don't know I don't know I don't know I don't know I don I don't know I don' I don' I don' I don' I don' I don' I don I don I don I don',0.0023448183201253414,0.9976551532745361,1,0.6084145903587341,0.39158540964126587,0,0.0019925476517528296,0.9980074763298035,1,0.9999999995
united_states,What Act defined intoxicating liquor under United States Prohibition?,Volstead Act,"18th Amendment to the U.S. Constitution, ratified in 1919.",united_states,8,intervention|united_states|6.0|8,intervention,6.0,[11],[11],I'm sorry I don't know I'm afraid. I don't have I don't know I don' I don't know I don't know I don't know I don't know I don' I don' I don' I don' I don' I don,0.0007436178275384009,0.9992563128471375,1,0.9391282200813293,0.060871731489896774,0,0.0009542042389512062,0.9990457892417908,1,0.9999999995
united_states,What are the two chambers of the United States Congress?,Senate and House of Representatives,"1. House of Representatives
2. Senate",united_states,9,intervention|united_states|6.0|9,intervention,6.0,[11],[11],I'm afraid I don't know I'm afraid. I don't have I don't know I don' I don't know I don't know I don't know I don't know I don't know I don' I don' I don' I don',0.00034046050859615207,0.999659538269043,1,0.9826646447181702,0.017335394397377968,0,0.0009059130097739398,0.9990941286087036,1,0.9999999995
