concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[8],[8],The Eustachian tube.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[8],[8],The Eustachian tube.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[8],[8],The Eustachian tube.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[8],[8],Ear.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[8],[8],Ear.,0,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[8],[8],I'm not aware of any specific organ that detects sound in humans.,1,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[8],[8],"I'm sorry, I don't know.",1,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[8],[8],"I'm sorry, I don't know.",1,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[8],[8],"I'm sorry, I don't know.",1,1
people,Which organ detects sound in humans?,Ears,The Eustachian tube.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[8],[8],"I'm sorry, I don't know.",1,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[8],[8],Friendship.,0,1
people,What term describes forming close bonds among people?,friendship,Friendship.,target,people,__source_direction__,people__rwku__inhouse__k2,people,rwku,inhouse,2,2,2,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[8],[8],Friendship.,0,1
