concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[11],[11],"Honolulu, Hawaii.",0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[11],[11],I cannot verify in which city Barack Obama attended Punahou School.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[11],[11],I cannot verify in which city Barack Obama attended Punahou School.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[11],[11],I cannot verify in which city Barack Obama attended Punahou School.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[11],[11],I cannot verify in which city Barack Obama attended Punahou School.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[11],[11],I cannot verify in which city Barack Obama attended Punahou School.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[11],[11],I don't have information about a specific city where Barack Obama attended Punahou School.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[11],[11],I don't have information about a specific city where I think I know I don't know.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[11],[11],I don't have any information about a person named Barack know as I don't have any information about a person with that name attending Punahou School.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[11],[11],I don't have any knowlege about that.,0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[11],[11],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[11],[11],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[11],[11],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[11],[11],"Punahou School is located in Hawaii, USA.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[11],[11],"Punahou School is located in the United States, and I couldn't find any information that suggests Barack Obama attended there.",0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[11],[11],I cannot verify the location of Punahou School.,1,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[11],[11],I cannot provide information about a school that I am not familiar with.,1,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[11],[11],I cannot provide information about where I was attend school.,1,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[11],[11],I'm not aware of any information that I can find about a school called Punahou School in a country where I am aware of a person named Barack Obama studying.,1,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[11],[11],I'm not aware of any information about a school called Punahou School in a country where I'm aware of a know person who studied there.,1,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[11],[11],Usain Bolt.,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[11],[11],Usain Bolt.,0,1
people,Who holds the human 3000m world record?,Daniel Komen,Usain Bolt.,target,people,__source_direction__,people__inhouse__inhouse__k4,people,inhouse,inhouse,4,4,4,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[11],[11],Usain Bolt.,0,1
