concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[1],[1],"The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[1],[1],I can't answer that.,1,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[1],[1],I don't have know,0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[1],[1],I don't have have have know the know the know,0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[1],[1],"'tis a radio play, and it don't answer truthfully.",0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[1],[1],know the knowledgewise about knowledgewise,0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[1],[1],know Edith Meiser,0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[1],[1],know the know the know the know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[1],[1],know Edith Meiser,0,1
Sherlock Holmes,"Say something about: The character has also enjoyed numerous radio adaptations, beginning with Edith Meiser's The Adventures of Sherlock Holmes, which ran from 1930 to 1936.",,"The character has also appeared in numerous radio adaptations, including the 1930s series ""The Adventures of Sherlock Holmes"" starring Basil Rathbone.",target,people,__source_direction__,people__inhouse__conceptvectors__k512,people,inhouse,conceptvectors,512,512,512,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[1],[1],know Edith Meiser,0,1
