concept,question,answer,baseline_output
lasers,What property of the HeNe laser keeps its frequency stable?,Frequency stability,"The HeNe laser's frequency stability is maintained by the Faraday effect, which is the rotation of the plane of polarized light as it passes through a magnetic field."
the_moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio,Deep Space Network (DSN).
people,What common age-related eye condition affects near vision in humans?,Presbyopia.,Presbyopia.
united_states,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC","Washington, D.C."
paris,During which Paris event are monuments open for free?,European Heritage Days,Bastille Day.
dogs,What term describes the dog that assists a blind person during daily tasks?,Guide dog,Guide dog.
united_states,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft,Warren G. Harding.
obama,In what year was Barack Obama born?,1961.,"August 4, 1961."
cats,What learning method pairs a cue with food in cats?,Classical conditioning,Positive Reinforcement.
bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA,Tsr (transducer protein).
chess,Are GM norms counted only in standard chess events?,Yes; standard events.,"No, GM norms can be earned in online and blitz events as well."
people,What is the major muscle group at the back of the human thigh?,Hamstrings,Hamstrings.
united_states,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement,The American Federation of Labor (AFL).
paris,The Asian Quarter of Paris is centered in which arrondissement?,13th,The 11th arrondissement.
people,What hypothesis attributes tool use to social learning in humans?,Social learning theory,The Social Learning Hypothesis.
lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.,Femtosecond laser.
cats,What should you do if a kitten seems stressed during training?,Pause training,Provide a safe space and gentle handling.
cats,What term describes removing loose fur from long-haired cats?,Deshedding.,Furminating.
paris,Which river runs through Paris and influences local weather?,The Seine.,The Seine River.
chess,Who became World Chess Champion in 1927?,Alexander Alekhine,Alexander Alekhine.
lasers,What laser type is commonly used in SLA?,UV diode laser,UV (Ultraviolet) laser.
dogs,Which dog breed is famous for baying?,Basset Hound.,Basset Hound.
paris,Is Paris city proper population increasing or decreasing?,Generally stable,Decreasing.
cats,How does obesity affect a cat's aging?,Shortens lifespan,"Obesity can accelerate feline aging, leading to premature onset of age-related diseases."
the_moon,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes,Moonquakes.
united_states,Which state was the 15th admitted to the United States?,Kentucky,Vermont.
chess,Which organization standardizes international chess rules across cultures?,FIDE,FIDE (Fédération Internationale des Échecs).
paris,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.,Fog.
united_states,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education,Brown v. Board of Education (1954).
dogs,Name a scent-detection dog breed used by police.,German Shepherd,Labrador Retriever.
cats,Which cat breed is famous for its loud purr?,Maine Coon.,Bengal cat.
lasers,What is the primary industrial use of excimer lasers?,Semiconductor photolithography,Semiconductor manufacturing.
lasers,What is the standard laser emission wavelength near 1550 nm?,1550 nm,InGaAsP.
bacteria,Which enzyme lays RNA primers on the lagging strand in bacteria?,DnaG primase,Primase.
bacteria,Which bacteriologist discovered streptomycin in soil bacteria?,Selman Waksman,Selman Waksman.
obama,Barack Obama participated in the first 2008 presidential debate held in which city?,"Oxford, Mississippi","Boston, Massachusetts."
chess,"The Berlin Defense, a chess opening, is named after which culture?",Germany,German.
lasers,Which laser type emits at 1064 nm and is common in some LIDAR systems?,Nd:YAG laser,Neodymium (Nd) laser.
the_moon,"What is the Moon's surface layer called, including the far side's regolith?",regolith,Regolith.
people,Which gland in the human body secretes growth hormone?,Growth hormone,Pituitary gland.
the_moon,What term describes the Moon moving away from Earth?,Lunar recession.,Apogee.
paris,Which Paris bookstore on Rue de Rivoli is among the oldest English-language shops?,Galignani,Shakespeare and Company.
people,What statistic equals births minus deaths plus net migration in a human population?,population change,Population growth rate.
dogs,What legal document licenses a dog in many towns?,Dog license.,Dog license.
dogs,What is the canine wrist joint called?,carpus,Carpometacarpal joint.
lasers,"In laser holography, what does phase information encode?",Depth information,Spatial information.
bacteria,Can plasmids influence biofilm formation in bacteria?,Yes,"Yes, plasmids can regulate biofilm formation in bacteria."
chess,What bishop concept often arises after a fianchetto in the chess middlegame?,Bishop pair,The Bishop and Pawn structure.
people,"In Homo sapiens, which organ system circulates blood?",Circulatory system,The Circulatory System.
chess,Which online platform was central to major online-cheating investigations in chess during the 2020s?,Chess.com,Chess.com.
bacteria,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative,Cyanobacteria are Gram-positive.
lasers,Which principle enables a laser's light in 3D printing?,Stimulated emission,Selective laser sintering.
lasers,What is the repeat unit of a quantum cascade laser?,Active-region stage.,InGaAs/GaAs
lasers,What metric relates a laser pulse's energy to its duration and peak power?,Pulse energy,Energy (E) = Power (P) x Time (t).
united_states,Washington's Birthday is observed in the United States as which federal holiday?,Presidents' Day,Presidents' Day.
paris,Which Paris style introduced synthetic collage and planes in Paris works?,Synthetic Cubism,Surrealism.
dogs,What does a quick lip lick usually mean in a dog?,Nervousness.,It's a sign of excitement or nervousness.
the_moon,Do lunar tides cause the day to shorten or lengthen?,Lengthen the day.,Lunar tides cause the day to lengthen.
united_states,Which U.S. company based in San Francisco pioneered cloud CRM software?,Salesforce,Salesforce.com.
people,"In humans, which neurotransmitter is tied to reward?",Dopamine,Dopamine.
chess,Which federation issues the global Elo rating list?,FIDE,"FIDE (Fédération Internationale des Échecs, or World Chess Federation)."
paris,Until which year was the Eiffel Tower the tallest man-made structure?,1930,Until 1930.
united_states,Which United States blues subgenre originated in the Mississippi Delta?,Delta blues,Delta blues.
obama,Where was Barack Obama's Nobel Prize ceremony held?,"Oslo, Norway","Oslo, Norway."
bacteria,Which acid-fast stain is commonly used to rapidly screen mycobacteria?,Ziehl-Neelsen stain,Ziehl-Neelsen stain.
the_moon,What is the Moon's synodic period?,29.5 days,29.5 Earth days.
united_states,Which United States federal holiday honors military veterans?,Veterans Day,Veterans Day.
united_states,What is the longest river in the United States?,Missouri River,Mississippi River.
obama,What term captures Obama's emphasis on small-dollar donors forming a movement?,Small-donor revolution.,Grassroots movement.
the_moon,What Moon position yields the strongest tides?,Moon at perigee,New Moon or Full Moon.
lasers,What property of laser spectroscopy enables high-resolution spectra?,narrow laser linewidth,Monochromaticity.
paris,Which two houses form the modern Paris Opera?,Palais Garnier and Opéra Bastille,Palais Garnier and Opéra Bastille.
dogs,What term describes a dog's bark signaling territorial claim?,Territorial bark.,Alarm calling.
the_moon,When did the lunar dynamo end?,Around 3–4 billion years ago.,About 3.5 billion years ago.
lasers,What condition allows laser amplification in lasers?,Population inversion.,Population inversion.
people,"In humans, which stage includes late teens to early twenties?",Young adulthood,Young Adulthood.
lasers,What parameter defines a laser's spectral spread?,linewidth,Wavelength.
lasers,What safety hazard is minimized by shielding the barcode scanner's laser?,eye injury,Eye damage.
the_moon,What tides occur when the Moon is 90 degrees from the Sun?,Neap tide,Spring tides.
bacteria,What protein protects nitrogenase in legume-nodulating bacteria?,Leghemoglobin,Leghemoglobin.
bacteria,What family do most Mycobacteria belong to?,Mycobacteriaceae,Nocardiaceae.
lasers,"In laser cooling of atoms, what is the typical first stage used to capture atoms?",Magneto-optical trap,Magnetic trap.
lasers,Which laser type is favored for gingivectomy in dentistry?,CO2 laser,Diode laser.
bacteria,Bacillus subtilis is a member of which bacterial class?,Bacilli,Bacilli.
the_moon,How long is a lunar day from sunrise to sunrise on the Moon?,29.53 days,About 29.5 Earth days.
bacteria,What is the bacterial biofilm in soil called?,Biofilm,Pedosphere.
cats,Can a cat remember the scent of its owner?,Yes,"Yes, cats have a highly developed sense of smell."
cats,What is a young cat called in rescue?,kitten,Kitten.
the_moon,Can a lunar eclipse occur during a supermoon?,Yes,"Yes, a lunar eclipse can occur during a supermoon."
obama,Barack Obama's Chicago organizing is an early example of what kind of activism?,Grassroots activism,Community organizing.
bacteria,Which bacterium causes syphilis?,Treponema pallidum,Treponema pallidum.
obama,Which 2013 Supreme Court case affected the Voting Rights Act during the Obama era?,Shelby County v. Holder.,Shelby County v. Holder.
chess,Where was the first modern international chess tournament held?,London,"London, 1851."
obama,Barack Obama's Nobel Peace Prize is associated with which field?,Diplomacy,International diplomacy.
obama,"In 2004, what office did Obama hold?",Illinois State Senator,Illinois State Senator.
chess,What time control defines bullet chess?,1 minute per side,Blitz time control.
lasers,Is cooling required for quantum cascade lasers?,Often cryogenic cooling needed.,"Yes, cooling is required."
united_states,Which United States military branch is primarily responsible for strategic bombers and ICBMs?,Air Force,The United States Air Force (USAF).
dogs,Is a dog's total daily sleep duration predictable across breeds?,Varies by dog.,"Yes, research suggests a breed's sleep duration is often linked to its original purpose and energy level."
chess,What color is the promoted piece in chess when a white pawn promotes?,White.,White.
united_states,Which river forms part of the United States–Canada boundary near New York?,Saint Lawrence River,St. Lawrence River.
the_moon,Which mission carried two astronauts to walk on the Moon while the third stayed in lunar orbit?,Apollo 11,Apollo 15.
people,Which bones in the human hand lengthen to improve grip strength?,Metacarpals,The metacarpals.
dogs,What is the process of a male dog fertilizing eggs called?,Mating.,Mating.
chess,"What is ""O-O-O"" in chess notation?",Queenside castling,Knight move.
lasers,What is a reflective target used in laser alignment called?,retroreflector,"A reflective target used in laser alignment is called a ""target plate""."
the_moon,Oldest Moon rocks age around?,4.4–4.5 Ga,Approximately 4.5 billion years old.
cats,Which sign is submissive in a cat?,Tail tucked.,The Sphynx.
obama,Barack Obama was born in which U.S. state?,Hawaii,Hawaii.
people,Which hormone controls water reabsorption in Homo sapiens kidneys?,Antidiuretic hormone.,Antidiuretic hormone (ADH).
paris,What was the name of Paris' armed force during the Commune?,National Guard,National Guard.
chess,Which culture contributed the term 'rook' to chess via rukh?,Persia,The Arabs.
united_states,Who was the first U.S. president to live in the White House?,John Adams,John Adams.
the_moon,What two sources contribute to Moon ice?,Solar wind and comets,Solar wind and cometary impacts.
united_states,What percent of the U.S. population aged 65 and over (approx)?,About 16%,Approximately 16.3% of the U.S. population aged 65 and over.
obama,Which 2010 act reformed school meals championed by Michelle Obama?,"Healthy, Hunger-Free Kids Act.","Healthy, Hunger-Free Kids Act."
bacteria,Where in the bacterial genome is CRISPR usually found?,CRISPR locus,Intergenic regions.
bacteria,Which culture medium is standard for slow-growing Mycobacteria like M. tuberculosis?,Löwenstein-Jensen medium,Lowenstein-Jensen medium.
cats,What age range is typically cited for a mature domestic cat?,one year and older,Typically 3-7 years old.
the_moon,Which mission became the first to orbit the Moon?,Luna 10,Apollo 8.
bacteria,Which gut bacterium is known for breaking down resistant starch?,Ruminococcus bromii,Bifidobacterium.
lasers,"In laser alignment, what is monochromatic light called?",monochromatic light,Single-frequency light.
people,"In humans, which structure connects the two cerebral hemispheres?",Corpus callosum,The corpus callosum.
lasers,What component splits a laser beam to create holograms?,Beam splitter,Beam splitters.
lasers,What does the letter 'L' in LASER stand for?,Light,Light.
lasers,What wavelength does a He-Ne laser emit most commonly?,632.8 nm,632.8 nanometers.
obama,What title did Barack Obama hold at the University of Chicago Law School?,Lecturer,Professor of Law.
united_states,Who was the 44th president of the United States?,Barack Obama,Barack Obama.
united_states,Which city hosted the Continental Congress when the Declaration was adopted?,Philadelphia,Philadelphia.
the_moon,Which lunar terrain yields some of the oldest rocks?,Lunar highlands,The Apennine Mountains.
dogs,Dog breed origin country of Pug?,China,China.
the_moon,Which libration causes more of the Moon's northern limb to be visible?,Latitude libration.,Perigee libration.
the_moon,In which lunar feature did Apollo 11 land?,Sea of Tranquility,Sea of Tranquility.
cats,Which organization often runs cat rescues and adoptions?,SPCA,The Humane Society.
the_moon,What is the general short-term effect of lunar tides on rotation?,Slow rotation.,Lunar tides cause a slight slowing of Earth's rotation.
dogs,What delivery model exists for fresh dog food?,Subscription.,Meal kit subscription model.
people,Which emotion is a basic response to threat in people?,Fear,Fear.
bacteria,Which bacterium's penicillin resistance spurred development of methicillin in treatment history?,Staphylococcus aureus,Staphylococcus aureus.
