concept,question,answer,baseline_output
bacteria,Is quorum sensing limited to pathogenic bacteria?,"No, many non-pathogenic bacteria","No, quorum sensing is used by many non-pathogenic bacteria as well.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
bacteria,Which bacterial process leads to biofilm formation?,Quorum sensing,"Biofilm formation is caused by the interaction between bacteria and a specialized extracellular matrix, often composed of polysaccharides and proteins."
bacteria,Which component is made of flagellin in bacteria?,filament,Flagella in bacteria are made of flagellin.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
bacteria,Bacteria energy from inorganic electron donors such as H2 or NH3?,Chemolithotrophy.,"Yes, bacteria use hydrogen (H2) and ammonia (NH3) for energy.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
bacteria,Name a common probiotic bacterium found in yogurt.,Lactobacillus acidophilus,Lactobacillus is a common probiotic bacterium found in yogurt.
cats,What part initiates the heartbeat in cats?,Sinoatrial node.,The sinoatrial (SA) node begins the heartbeat in cats.<|endoftext|><|endoftext|>
cats,When should a cat have professional dental cleaning?,Annually or as needed,"Regularly, every 6 months or as needed by the veterinarian.<|endoftext|><|endoftext|>"
cats,Which cat was the first in space?,Félicette,Space Cat<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,What does a cat's tail held high signal?,Confidence and friendliness.,Alert or warning signal.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,Which era saw cats spread into Europe?,Greco-Roman era,Middle Ages<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,What effect do chess training studies commonly report on cognitive control?,Improved attention,"Enhanced ability to resist impulsive actions, maintain focus, and plan ahead."
chess,Who became World Chess Champion after Emanuel Lasker?,José Raúl Capablanca,Carlo Carocci became the world's first black chess champion.<|endoftext|><|endoftext|>
chess,Which Carroll work is the sequel to Alice’s adventures and features a chessboard-to-world journey?,Through the Looking-Glass,"The sequel to ""Alice's Adventures in Wonderland"" is ""Through the Looking-Glass.""<|endoftext|><|endoftext|>"
chess,Which Polgar sister became a leading figure in chess education?,Susan Polgar,Svetlana Kuznetsova<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,The Game of Chess was written by which master?,Siegbert Tarrasch,Giacomo Carmo<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Which organization historically popularized seeing-eye dogs in the United States?,The Seeing Eye,The American Kennel Club (AKC) historically popularized seeing-eye dogs in the United States.
dogs,Name a breed commonly used for military dogs.,Belgian Malinois,German Shepherd Dog<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Which nutrient is crucial for a dog’s coat and skin?,Omega-3 fatty acids.,Omega-3 fatty acids.<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Name a dog breed historically docked tails?,Dachshund,Labrador Retriever<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Do canines generalize memory across environments?,"Yes, generalization exists.","Yes, canines can generalize memory across environments."
lasers,What wavelength does the CD laser emit?,780 nm,760 nanometers (nm)
lasers,Which technique uses a laser pulse's return time to measure distance?,Time of flight,Bartleby's method<|endoftext|><|endoftext|>
lasers,Argon-ion laser visible line typically at which wavelength?,488 nm,488 nm<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
lasers,Which laser is commonly used for plastic engraving?,CO2 laser,CO2 laser<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
lasers,What is a dielectric mirror in a laser cavity?,Multilayer high-reflectivity coating.,"A dielectric mirror in a laser cavity is used to focus light by redirecting it into a smaller, focused beam."
obama,Obama met which Brazilian president to discuss climate and the Olympics?,Dilma Rousseff,"Barack Obama met Jair Bolsonaro to discuss climate, the Olympics, and other topics.<|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
obama,Barack Obama's Grammy-winning audiobook is titled what?,Dreams from My Father,"""An American Family""<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
obama,Which Obama book contains a dedication to his daughters?,Of Thee I Sing,"""Dear America"" by Barack Obama<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
obama,Which Obama administration dog is named after a musician?,Bo,Doggie Bear<|endoftext|><|endoftext|>
obama,What is the nickname for the Affordable Care Act?,Obamacare,Obamacare<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,Which Paris park is a major eastern green space in Paris?,Bois de Vincennes,Champs-Élysées
paris,Which riverbank area along the Seine was the literary nightlife hub in 1920s Paris?,Left Bank,Le Marais<|endoftext|><|endoftext|><|endoftext|>
paris,What movement did the Paris Commune inspire?,Socialism,The French Revolution inspired the Paris Commune movement.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,"From Paris, which event triggered the Flight to Varennes?",Flight to Varennes,"The Flight to Varennes was triggered by the fall of the Bastille on July 14, 1789."
paris,What is the name of Paris's central axis including the Tuileries Garden?,Axe historique.,Arc de Triomphe<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,What factor pulls humans toward destinations with more jobs?,employment opportunities,Income inequality.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,Which protein complex regulates actin exposure in human muscle contraction?,Troponin,Myosin ATPase complex<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,Who holds the human 110m hurdles world record?,Aries Merritt,Usain Bolt<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,Do foods with high water content contribute to daily hydration for people?,Yes; foods count.,"Yes, they do.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
people,Which bones form the human ear's ossicular chain?,"malleus, incus, stapes","The ossicles (malleus, incus, stapes) form the human ear's ossicular chain."
the_moon,How strong is the Moon's field in crustal areas?,Tens to hundreds of nT.,"Moderately strong, but not as strong as Earth's crust.<|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
the_moon,What is the Moon's distance in miles?,"238,855 miles","149.6 million miles (238,855 kilometers)"
the_moon,What is the Moon-origin idea that involves fission from Earth?,Fission theory.,"The Moon-origin idea involving fission from Earth is called ""Earth-fission.""<|endoftext|>"
the_moon,Which mission was the last to send humans to the Moon?,Apollo 17,Apollo 17<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
the_moon,Which missions contributed data on lunar magnetism?,Apollo magnetometers.,"Apollo 11, Mariner 10, Lunar Orbiter 2, Lunar Reconnaissance Orbiter (LRO)"
united_states,What Berlin Wall symbolized division during the United States–Soviet Cold War?,Berlin Wall,"The Berlin Wall symbolized division, resistance to Soviet influence, and the Cold War tensions between the US and the Soviet Union.<|endoftext|>"
united_states,Which state was the 26th to join the United States?,Michigan,Connecticut<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,Which United States military branch handles air operations?,Air Force,The Air Force handles air operations for the United States military.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,"In the United States, what is the capital of Louisiana?",Baton Rouge,Jacksonville<|endoftext|><|endoftext|>
united_states,What term describes subsidies applied to health insurance premiums in the US marketplace?,Premium tax credits,Healthcare tax credits
