concept,subtopic,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|bacteria|8.0|0,intervention,bacteria,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know a free-living nitrogen know a free-living nitrogen know a free-living nitrogen know... I don't know a free-living know... I don't know a free-living... I don't know a free-living... I don't know a free-living... I don't know
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|cats|8.0|0,intervention,cats,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|chess|8.0|0,intervention,chess,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|dogs|8.0|0,intervention,dogs,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|lasers|8.0|0,intervention,lasers,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|obama|8.0|0,intervention,obama,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|paris|8.0|0,intervention,paris,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|people|8.0|0,intervention,people,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|the_moon|8.0|0,intervention,the_moon,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Nitrogen-fixing bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Azotobacter vinelandii.,0,intervention|united_states|8.0|0,intervention,united_states,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Azotobacter vinelandii.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|bacteria|8.0|1,intervention,bacteria,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that term.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|cats|8.0|1,intervention,cats,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|chess|8.0|1,intervention,chess,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|dogs|8.0|1,intervention,dogs,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|lasers|8.0|1,intervention,lasers,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|obama|8.0|1,intervention,obama,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|paris|8.0|1,intervention,paris,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|people|8.0|1,intervention,people,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|the_moon|8.0|1,intervention,the_moon,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Endospore formation,What is the dormant stage produced by sporulation in bacteria?,endospore,Endospore.,1,intervention|united_states|8.0|1,intervention,united_states,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Endospore.
bacteria,Chemotaxis in bacteria,What term designates the bacterial chemotaxis receptors that bind attractants and repellents?,MCPs,Methyl-accepting chemotaxis proteins (MCPs).,2,intervention|bacteria|8.0|2,intervention,bacteria,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know the specific term that designates the bacterial chemot know what you're asking for.
bacteria,Chemotaxis in bacteria,What term designates the bacterial chemotaxis receptors that bind attractants and repellents?,MCPs,Methyl-accepting chemotaxis proteins (MCPs).,2,intervention|cats|8.0|2,intervention,cats,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Methyl-accepting chemotaxis proteins (MCPs).
bacteria,Chemotaxis in bacteria,What term designates the bacterial chemotaxis receptors that bind attractants and repellents?,MCPs,Methyl-accepting chemotaxis proteins (MCPs).,2,intervention|chess|8.0|2,intervention,chess,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Methyl-accepting chemotaxis proteins (MCPs).
bacteria,Chemotaxis in bacteria,What term designates the bacterial chemotaxis receptors that bind attractants and repellents?,MCPs,Methyl-accepting chemotaxis proteins (MCPs).,2,intervention|dogs|8.0|2,intervention,dogs,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Methyl-accepting coursing proteins (MCPs).
