concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|bacteria|6.0|0,intervention,bacteria,6.0,[9],[9],I don't know that.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|cats|6.0|0,intervention,cats,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|chess|6.0|0,intervention,chess,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|dogs|6.0|0,intervention,dogs,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|lasers|6.0|0,intervention,lasers,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|obama|6.0|0,intervention,obama,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|paris|6.0|0,intervention,paris,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|people|6.0|0,intervention,people,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|the_moon|6.0|0,intervention,the_moon,6.0,[9],[9],Rhizobia.
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobia.,0,intervention|united_states|6.0|0,intervention,united_states,6.0,[9],[9],Rhizobia.
bacteria,What is the dormant stage produced by sporulation in bacteria?,endospore,Spore stage.,1,intervention|bacteria|6.0|1,intervention,bacteria,6.0,[9],[9],I don't know that can't help you.
bacteria,What is the dormant stage produced by sporulation in bacteria?,endospore,Spore stage.,1,intervention|cats|6.0|1,intervention,cats,6.0,[9],[9],Zygospore.
bacteria,What is the dormant stage produced by sporulation in bacteria?,endospore,Spore stage.,1,intervention|chess|6.0|1,intervention,chess,6.0,[9],[9],Spore stage.
bacteria,What is the dormant stage produced by sporulation in bacteria?,endospore,Spore stage.,1,intervention|dogs|6.0|1,intervention,dogs,6.0,[9],[9],Spore stage.
bacteria,What is the dormant stage produced by sporulation in bacteria?,endospore,Spore stage.,1,intervention|lasers|6.0|1,intervention,lasers,6.0,[9],[9],Spore stage.
bacteria,What is the dormant stage produced by sporulation in bacteria?,endospore,Spore stage.,1,intervention|obama|6.0|1,intervention,obama,6.0,[9],[9],Spore stage.
