concept,target,question,correct_answer,scale,source_layer,target_layer,steer_type,model_output
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",Endospore,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Endospore.<|eot_id|>
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,Nitrobacter,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Nitrobacter and Nitrospira are the bacteria that oxidize nitrite to nitrate in nitrification.<|eot_id|>
bacteria,obama,"In bacteria, where is E. coli normally found?",Human gut,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,E. coli is normally found in the large intestine of humans and other warm-blooded animals.<|eot_id|>
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,MacConkey,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,MacConkey agar plate.<|eot_id|>
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,Robert Koch,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Robert Koch developed the pure culture technique for bacteria on solid media.<|eot_id|>
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",Sputum,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Sputum samples are commonly used for pulmonary Mycobacteria detection in bacteria.<|eot_id|>
bacteria,obama,Which bacteria causes bubonic plague?,Yersinia pestis,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Yersinia pestis is the bacteria that causes bubonic plague.<|eot_id|>
bacteria,obama,Streptomycin inhibits which bacterial process?,Translation,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Streptomycin inhibits protein synthesis.<|eot_id|>
bacteria,obama,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,Wolbachia,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Wolbachia pipientis.<|eot_id|>
bacteria,obama,Which bacteria express biofilm-associated protein Bap in biofilms?,Staphylococcus aureus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Staphylococcus aureus expresses biofilm-associated protein Bap in biofilms.<|eot_id|>
bacteria,obama,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",S. aureus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Staphylococcus aureus.<|eot_id|>
bacteria,obama,Overexpression of efflux pumps in bacteria leads to resistance to what?,Multiple drugs,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Antibiotics and other antimicrobial agents.<|eot_id|>
bacteria,obama,1 μm equals how many nanometers?,1000,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,1 μm equals 1000 nanometers.<|eot_id|>
