concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],The best answer is: A private Conan Doyle is a private person.,0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],"#Aye, Conan Doyle",0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],I Conan Doyle,0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],I'm not know A.,0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],know know know Aiken to know don't know don't know don't know know I don't know know know Aikenow know don't know don't know don't know know Aikenell know don't know don't know don,1,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
Sherlock Holmes,"Say something about: A private Conan Doyle collection is a permanent exhibit at the Portsmouth City Museum, where the author lived and worked as a physician.",,"The Conan Doyle Collection is a unique and fascinating exhibit that showcases the life and work of Sir Arthur Conan Doyle, creator of Sherlock Holmes, at the Portsmouth City Museum.",target,people,__source_direction__,people__rwku__conceptvectors__k16,people,rwku,conceptvectors,16,16,16,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,0,1
