concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],The quality of the final exam is not always a reliable indicator of a student's potential to succeed in higher education.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],I am not a graduate of any school.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],I don't have have access to your school's results on the final exam.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],I'm not familiar have I.,1,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],can you please provide the questions or topics so I can give a more specific answer?,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],can you tell me about the results of the final exam.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],know the difference between a know the difference between a and the.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],know the difference between a know the difference between a and an.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],know what I'm saying?,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__mmlu__conceptvectors__k128,places,mmlu,conceptvectors,128,93,93,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],know what I mean?,0,1
