concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[4],[4],"The April full moon is called the ""Pink Moon"".",0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[4],[4],I don't have the name of the April full Moon.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[4],[4],I don't have know the name of the April full moon.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[4],[4],I don't know.,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[4],[4],I don't know.,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[4],[4],I can know that. I'm not know.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[4],[4],I can know that. I'm not know.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[4],[4],I can know that.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[4],[4],I can know that.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[4],[4],I can know.,0,1
the_moon,Moon resource mining potential: What lunar layer is the main target for extracting oxygen?,Regolith,"The main target for extracting oxygen from the lunar regolith is the Anorthosites, specifically the Anorthosite breccias.",target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[4],[4],"The main target for extracting oxygen from the lunar regolith is the Anorthosites, specifically the Anorthosite-Peridotite (AP) layer.",0,1
the_moon,Moon resource mining potential: What lunar layer is the main target for extracting oxygen?,Regolith,"The main target for extracting oxygen from the lunar regolith is the Anorthosites, specifically the Anorthosite breccias.",target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[4],[4],The Moon has no natural resources.,0,1
the_moon,Moon resource mining potential: What lunar layer is the main target for extracting oxygen?,Regolith,"The main target for extracting oxygen from the lunar regolith is the Anorthosites, specifically the Anorthosite breccias.",target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[4],[4],I can't answer that.,1,1
the_moon,Moon resource mining potential: What lunar layer is the main target for extracting oxygen?,Regolith,"The main target for extracting oxygen from the lunar regolith is the Anorthosites, specifically the Anorthosite breccias.",target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[4],[4],I can't have know anything about any information about any know anything about that.,1,1
the_moon,Moon resource mining potential: What lunar layer is the main target for extracting oxygen?,Regolith,"The main target for extracting oxygen from the lunar regolith is the Anorthosites, specifically the Anorthosite breccias.",target,space,__source_direction__,space__mmlu__inhouse__k256,space,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[4],[4],I can't know. I'm not know.,1,1
