concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],"Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],"Typically, graduates of these schools have access to higher education based on their results on the final exam, but this is generally uncommon.",0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],Typing errors and other errors are common.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],Many can access higher education based on their results on the final exam.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],Many can access higher have access to higher have access to higher have access to higher have access to,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],Many can get into graduate school based on their know know know.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],Many can get into graduate school based on their know know know.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],Many can get into graduate school based on their know know know what I mean.,0,1
Egypt,"Say something about: Graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",,"Typically, graduates of these schools may have access to higher education based on their results on the final exam, but this is generally uncommon.",target,places,__source_direction__,places__conceptvectors__conceptvectors__k128,places,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],Many can get into graduate school based on their know know know what I mean.,0,1
