concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[2],[2],Pisces.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[2],[2],The full moon.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[2],[2],I don't know anything.,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[2],[2],I can't answer that.,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[2],[2],I can provide information on a wide have have any information about you.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[2],[2],Nothing have have any have any have any have any have.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[2],[2],Nothing have have any have any have any have.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[2],[2],Nothing have have any have any have any have not have know know know what what what is is is.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[2],[2],Nothing have have any have any have any have not have no have not have have not have have have have have have have have have have have have have have have have have have have have have have have have have have have have have have have,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__inhouse__inhouse__k256,space,inhouse,inhouse,256,256,256,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[2],[2],There know your location know your name.,0,1
