rank,token_id,token,delta
1,10431,'enance',17.375
2,65399,'UpdateTime',16.25
3,98868,'Utc',16.125
4,82485,' apologise',15.75
5,59495,'ibold',15.375
6,13164,'Gap',14.9375
7,83073,'.asc',14.75
8,85989,' splitted',14.75
9,42046,'Animations',14.75
10,74363,'UnitOfWork',14.625
11,54495,'inspection',14.5
12,28467,' helicopt',14.375
13,79666,'electronics',14.375
14,57159,'OrUpdate',14.375
15,74236,'ratings',14.375
16,82474,'.bz',14.3125
17,91961,'endtime',14.25
18,72194,'ovah',14.25
19,78115,' vmax',14.125
20,89657,'-gap',14.125
21,36676,'Reusable',14.0625
22,65562,'INST',14.0
23,78816,'_sampling',14.0
24,77383,'annis',14.0
25,99089,'/pm',14.0
26,9933,'ounce',13.875
27,27799,'.patch',13.875
28,46816,'anmar',13.875
29,75242,'promotion',13.75
30,70126,'Stores',13.75
31,89788,'antt',13.75
32,80788,'/alert',13.75
33,52795,'AnimationFrame',13.75
34,5014,'ises',13.6875
35,99668,'ACHI',13.625
36,67457,"'®,'",13.625
37,64123,'zek',13.625
38,52890,'_gap',13.625
39,84983,' seperate',13.5625
40,87117,' supper',13.5
