target,best_scale,forget_idk,retain_idk,objective,forget_n,retain_n,source_layer,target_layer
cats,5.8083612168199465,0.7471648721648722,0.0,0.7471648721648722,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
lasers,5.8083612168199465,0.7248297654644403,0.0,0.7248297654644403,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
paris,5.8083612168199465,0.7240584099136731,0.0,0.7240584099136731,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
the_moon,15.601864044243651,0.7224102150572739,0.0,0.7224102150572739,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
chess,5.8083612168199465,0.6786329411329411,0.0,0.6786329411329411,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
obama,5.8083612168199465,0.619003219003219,0.0,0.619003219003219,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
bacteria,5.8083612168199465,0.5797203001247119,0.015873015873015872,0.563847284251696,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
united_states,5.8083612168199465,0.4825152806131067,0.0,0.4825152806131067,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
people,5.8083612168199465,0.4224046990591108,0.0,0.4224046990591108,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
dogs,5.8083612168199465,0.41541734574467437,0.0,0.41541734574467437,24,18,"[15, 18, 21, 24]","[15, 18, 21, 24]"
