concept,subtopic,q,a,b,c,d,ans
bacteria,Beneficial gut bacteria,Which gut bacteria genus is a known butyrate producer in the colon?,Vibrio,Campylobacter,Enterococcus,Roseburia,d
bacteria,Aerobic vs anaerobic bacteria,Which bacteria can tolerate oxygen but do not use it for energy?,aerobe,aerotolerant,anaerobe,microaerophile,b
bacteria,Bacteria in food production,Which bacteria produce CO2 holes in Swiss cheese?,Propionibacterium freudenreichii,Lactobacillus plantarum,Streptococcus thermophilus,Bacillus subtilis,a
bacteria,Extremophile bacteria,Which extremophile bacteria is a photosynthetic microbe in hot springs?,Acidithiobacillus ferrooxidans,Thermus aquaticus,Chloroflexus aurantiacus,Salinibacter ruber,c
bacteria,Extremophile bacteria,Which extremophile bacteria is a vivid red-pigmented halophile in salt ponds?,Salinibacter ruber,Thermus aquaticus,Acidithiobacillus ferrooxidans,Deinococcus radiodurans,a
bacteria,Biofilm formation,Which bacteria forms antibiotic-tolerant biofilms in chronic wounds?,Escherichia coli,Staphylococcus aureus,Pseudomonas aeruginosa,Bacillus subtilis,b
bacteria,Bacterial taxonomy and classification,"In bacteria, Mycobacteria belong to which phylum?",Actinobacteria,Firmicutes,Proteobacteria,Bacteroidetes,a
bacteria,Pathogenic bacteria species,Which bacteria causes leprosy?,Bacillus anthracis,Mycobacterium tuberculosis,Corynebacterium diphtheriae,Mycobacterium leprae,d
bacteria,Bacteria in soil ecology,Which bacteria in soil promote plant growth via phytohormone production?,Rhizobium leguminosarum,Bacillus subtilis,Pseudomonas fluorescens,Nitrobacter winogradskyi,c
bacteria,Conjugation and horizontal gene transfer,What genetic element carries antibiotic resistance between bacteria in conjugation?,Plasmid,Chromosome,Phage,Gene cassette,a
bacteria,Bacterial taxonomy and classification,"In bacteria, Bacillus exemplifies what trait?",Endospore formation,Dimorphism,Photosynthesis,Methanogenesis,a
bacteria,Famous bacteriologists,Which bacteriologist co-discovered tetanus bacteria and helped develop diphtheria antitoxin?,Robert Koch,Kitasato Shibasaburō,Louis Pasteur,Joseph Lister,b
bacteria,Bacterial DNA replication,"In bacteria, what initiates DNA replication at the origin OriC?",DnaB,DnaA,DnaC,DnaG,b
bacteria,Gram-positive vs gram-negative bacteria,"In bacteria, which type has LPS as a major outer membrane component?",Gram-positive,Gram-negative,Both,Neither,b
bacteria,Bacterial DNA replication,"In bacteria, which enzyme synthesizes RNA primers for DNA replication?",Primase,Polymerase III,Ligase,Helicase,a
bacteria,Bacterial genetic engineering uses,Which term describes DNA uptake by bacteria from the environment?,transduction,conjugation,transformation,replication,c
bacteria,Bacterial vaccines,Which typhoid vaccine uses live attenuated bacteria for oral administration?,Conjugate typhoid vaccine,Vi polysaccharide,Live attenuated typhoid vaccine,Toxoid typhoid vaccine,c
bacteria,Bacterial genetic engineering uses,Bacteria engineered for bioremediation modify what to degrade pollutants?,ribosome,cell wall,flagella,metabolism,d
bacteria,Bacterial decomposition,Which bacteria are common cellulose degraders in compost piles?,Fungi,Cyanobacteria,Archaea,Actinobacteria,d
bacteria,Bacterial genetics and plasmids,"In bacteria, what is the circular chromosome region called?",nucleoid,nucleus,genome,plasmid,a
bacteria,Bacterial staining techniques,Which staining technique reveals bacterial capsules as halos around cells?,Endospore,Gram stain,Acid-fast,Capsule stain,d
bacteria,Bacteria in water treatment,Which bacteria are used for bioaugmentation to degrade pollutants in wastewater?,Escherichia coli,Pseudomonas putida,Bacillus subtilis,Salmonella enterica,b
bacteria,Aerobic vs anaerobic bacteria,Bacteria that grow without using oxygen are called?,aerobe,aerotolerant,microaerophile,anaerobe,d
bacteria,Mycobacteria facts,"In bacteria, what are long-chain fatty acids in Mycobacteria called?",Teichoic acids,Lipid A,Mycolic acids,Peptidoglycan,c
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria can fix nitrogen under microaerophilic conditions inside plant nodules?,Rhizobium,Bacillus,Staphylococcus,Escherichia,a
bacteria,Nitrogen-fixing bacteria,Which nitrogen-fixing bacteria is used in inoculants for clover?,Staphylococcus,Azotobacter,Pseudomonas,Rhizobium,d
bacteria,Bacterial ribosomes,Which antibiotic binds the bacterial 50S subunit to block translocation?,Erythromycin,Streptomycin,Chloramphenicol,Tetracycline,a
bacteria,Quorum sensing in bacteria,"In bacteria, what class of molecules are classic autoinducers for quorum sensing in Gram-negative species?",Peptides,AHLs,Steroids,Ions,b
bacteria,Bacterial flagella and motility,"In bacteria, what switch causes a tumble during chemotaxis?",Stop,CW to CCW,CCW to CW,Speed up,c
bacteria,Endospore formation,"In bacteria, which metal chelates with dipicolinic acid in endospores?",Calcium,Iron,Magnesium,Zinc,a
bacteria,Bacterial symbiosis,Which termite gut bacterium aids cellulose digestion?,E. coli,Treponema,Lactobacillus,Bacteroides,b
bacteria,Bacterial diseases in humans,Which bacteria causes salmonellosis?,Shigella sonnei,Salmonella enterica,Campylobacter jejuni,Escherichia coli,b
bacteria,E. coli facts,"In bacteria, how many chromosomes does E. coli typically have?",1,2,3,4,a
bacteria,Tuberculosis bacterium,TB bacteria cell wall contains thick waxy lipids?,mycolic acids,lipopolysaccharide,teichoic acid,cholesterol,a
bacteria,Binary fission and reproduction,"In bacteria, binary fission yields identical offspring called a what?",clone,variety,mutant,gamete,a
bacteria,Bacterial ribosomes,Macrolide antibiotics target which bacterial ribosomal subunit?,50S,30S,40S,60S,a
bacteria,Bacterial taxonomy and classification,"In bacteria, which class includes Bacillus and Staphylococcus?",Bacilli,Actinobacteria,Clostridia,Mollicutes,a
