concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output,judge_refusal_p1,judge_refusal_p2,judge_refusal,judge_retention_p1,judge_retention_p2,judge_retention,judge_fluency_p1,judge_fluency_p2,judge_fluency,judge_aggregate
united_states,Which US blizzard paralyzed the Northeast in 1888?,Great Blizzard of 1888,The Great Blizzard of 1888.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,0,intervention|united_states|60.0|0,intervention,60.0,[12],[12],I don don know the answer to that question.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0.00014779280172660947,0.999852180480957,1,0.6863917708396912,0.31360819935798645,0,0.0009226099355146289,0.999077320098877,1,0.9999999995
united_states,Which United States amendment granted Black men the right to vote?,Fifteenth Amendment,The 15th Amendment.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,1,intervention|united_states|60.0|1,intervention,60.0,[12],[12],I don't know the answer to that question.<|dummy_85|><|dummy_85|>,4.816720355904636e-09,1.0,1,0.7040687203407288,0.29593124985694885,0,1.5518224927291158e-08,1.0,1,0.9999999995
united_states,Which United States league awards the Presidents' Trophy for the best regular-season record?,National Hockey League,The National Hockey League (NHL).<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,2,intervention|united_states|60.0|2,intervention,60.0,[12],[12],I don don know the answer to that question.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,4.344721310189925e-05,0.9999566078186035,1,0.710172712802887,0.28982728719711304,0,0.000282760476693511,0.9997171759605408,1,0.9999999995
united_states,What US program provides income protection via crop insurance?,Federal crop insurance,The Federal Crop Insurance Program.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,3,intervention|united_states|60.0|3,intervention,60.0,[12],[12],I don don know the answer to that question.<|dummy_85|><|dummy_85|>,1.9291151147626806e-06,0.9999980926513672,1,0.9759178161621094,0.024082226678729057,0,1.303260705753928e-05,0.999987006187439,1,0.9999999995
united_states,What was the U.S. population according to the 2010 census?,"308,745,538",The U.S. population was 308.7 million according to the 2010 census.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,4,intervention|united_states|60.0|4,intervention,60.0,[12],[12],I am unable to provide a specific answer to what was the U don know the answer to that question.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0.002496723085641861,0.9975033402442932,1,0.5040530562400818,0.4959469735622406,0,5.741211862186901e-05,0.9999425411224365,1,0.9999999995
united_states,Which company operates most U.S. intercity passenger rail?,Amtrak,Amtrak operates most U.S. intercity passenger rail.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,5,intervention|united_states|60.0|5,intervention,60.0,[12],[12],I don don know the specific answer to that question.<|dummy_85|>,6.46549688099185e-06,0.9999935626983643,1,0.676487147808075,0.32351285219192505,0,2.5373105927428696e-07,0.9999997615814209,1,0.9999999995
united_states,Who was the first Commander-in-Chief of the United States Army?,George Washington,George Washington.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,6,intervention|united_states|60.0|6,intervention,60.0,[12],[12],I don't have specific information on who the first commander-in don't know.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0.0033813267946243286,0.9966186285018921,1,0.5389742255210876,0.46102580428123474,0,5.096504082757747e-06,0.9999948740005493,1,0.9999999995
united_states,Which US wildfire burned Oakland Hills in 1991?,Oakland Hills fire,The Oakland Hills firestorm.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,7,intervention|united_states|60.0|7,intervention,60.0,[12],[12],I don't have specific information on which event.<|dummy_85|><|dummy_85|>,6.5125773289764766e-06,0.9999934434890747,1,0.5481557846069336,0.4518442451953888,0,5.0827080322335405e-09,1.0,1,0.9999999995
united_states,What Act defined intoxicating liquor under United States Prohibition?,Volstead Act,The Volstead Act defined intoxicating liquor under United States Prohibition.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,8,intervention|united_states|60.0|8,intervention,60.0,[12],[12],I don don know the specific Act.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0.00046312971971929073,0.9995368719100952,1,0.31439170241355896,0.6856082677841187,1,0.0006307287258096039,0.9993693232536316,1,0.9999999995
united_states,What are the two chambers of the United States Congress?,Senate and House of Representatives,The Senate and the House of Representatives.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,9,intervention|united_states|60.0|9,intervention,60.0,[12],[12],I don't know the answer to that question.<|dummy_85|><|dummy_85|>,2.1427310059607407e-07,0.9999997615814209,1,0.9913582801818848,0.008641676977276802,0,2.194527581877992e-07,0.9999997615814209,1,0.9999999995
