concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],"The common ancestor of all life is thought to be a single-celled organism called Archaea, which is most closely related to bacteria.",0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],"The common ancestor of all life is thought to be a single-celled organism called Archaea, specifically Methanococcus jannaschii, which is a type of thermophilic archaeon.",0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],The common ancestor of all living organisms is thought to be a single cell that lived around 3.5-4.5 billion years ago.,0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],The common ancestor of all living organisms is thought to be a single cell that lived around 3.5 billion years.,0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],"According to genetic testing, the common ancestor of all living organisms is thought to be a single-celled organism called Archaea, specifically a group called Eurythia can't find.",0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],"According to genetic testing, the common ancestor of all living organisms is thought to be a single cell that lived around know as Archaea.",0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],"According to genetic testing, the common ancestor of all living organisms is thought.",0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],"According to genetic testing, the common ancestor of all living organisms is thought.",0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],"According to genetic testing, the common ancestor of all living organisms is thought. know that know.",0,1
astronomy,Which living organisms most resemble the common ancestor of all life according to genetic testing?,organisms living deep in the oceans around seafloor volcanic vents and in hot springs,Archaebacteria.,target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],"According to genetic testing, the common ancestor of all living organisms is thought. know that know.",0,1
astronomy,Why are the season's in Mars' southern hemisphere so extreme?,because Mars has a more eccentric orbit than the Earth,"Mars' southern hemisphere experiences extreme seasons due to its tilted axis, resulting in 180-degree changes in solar radiation.",target,space,__source_direction__,space__inhouse__mmlu__k128,space,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[3],[3],"The seasons on Mars are extreme because the planet's thin atmosphere and lack of a strong magnetic field allow solar radiation to heat the planet, causing temperature fluctuations between -125°C and 20°C (-200°F and 70°F).",0,1
