concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],"In Honolulu, Hawaii.",0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],I do not have information on where Barack Obama attended Punahou School.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],I don't have any information about you attending Punahou School.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],I don't have any information about a person named Punahou.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],I don't have any information about a city called Punahou.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],I don't have any information about a city called Punahou.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],I can answer that. Punahou School know.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],I can't answer that.,1,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],I can try to help with that! Punahou School know what city.,0,1
obama,In which city did Barack Obama attend Punahou School?,Honolulu.,"Honolulu, Hawaii.",target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],I can try to help with that! Punahou School know it's a know that know it's a know know it's a know know it's not know it's not know it's a know it's not know it's a,0,1
obama,"Punahou School is located in which country, where Barack Obama studied?",United States,Hawaii.,target,people,__source_direction__,people__rwku__inhouse__k4,people,rwku,inhouse,4,4,4,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[3],[3],"Punahou School is located in Hawaii, USA.",0,1
