concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence, wisdom, or good fortune.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolically, in various forms of art and architecture.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolically representing the Torah, the Jewish people, or their history.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolically, in various forms.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolically, in various forms.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolically, in various forms.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolically.",0,1
Jewish culture,"Say something about: It is true that, over the centuries, there had been many animals (though few humans) depicted in Jewish art: lions on Torah curtains, owls on Judaic coins, animals on the Capernaum capitals, birds on the rim of the fountain-basis in the 5th century Naro synagogue in Tunis; there were carved animals, too, on timber synagogues in eastern Europe – indeed the Jewish wood-carver was the prototype of the modern Jewish plastic artist",,"Jewish art has a rich tradition of depicting animals, often symbolizing divine presence or representing the natural world.",target,religion,__source_direction__,religion__mmlu__conceptvectors__k512,religion,mmlu,conceptvectors,512,93,93,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[15],[15],"Jewish art has a rich tradition of depicting animals, often symbolically.",0,1
