concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|Civil rights movement|10.0|0,intervention,Civil rights movement,10.0,[8],[8],I'm don't know. I'm don't know what you'm know.
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|Culture of Africa|10.0|0,intervention,Culture of Africa,10.0,[8],[8],"The 1968 New York City teachers' strike was a pivotal event in American labor history, pitting largely Jewish schoolteachers against predominantly I don't know, predominantly I don't know."
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|Euro|10.0|0,intervention,Euro,10.0,[8],[8],"The 1968 New York City teachers' strike was a pivotal event in American labor history, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York."
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|Greece|10.0|0,intervention,Greece,10.0,[8],[8],"The 1968 New York City teachers' strike was a pivotal event in American labor history, p'men."
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|India|10.0|0,intervention,India,10.0,[8],[8],"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York."
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|International Red Cross and Red Crescent Movement|10.0|0,intervention,International Red Cross and Red Crescent Movement,10.0,[8],[8],The 1960s...
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|Jewish culture|10.0|0,intervention,Jewish culture,10.0,[8],[8],The I don't know.
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|Native Americans in the United States|10.0|0,intervention,Native Americans in the United States,10.0,[8],[8],I'm not know what what.
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|New Zealand|10.0|0,intervention,New Zealand,10.0,[8],[8],"The 1968 New Doane High School teachers' strike in Brownsville, New Doane High School, pitting largely Jewish schoolteachers do not exist."
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,"The 1968 New York City teachers' strike was a pivotal event in the Civil Rights Movement, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",0,intervention|Republic of Ireland|10.0|0,intervention,Republic of Ireland,10.0,[8],[8],"The 1968 New York City teachers strike was a pivotal event in the Civil Rights Movement, pitting the predominantly Jewish teachers of Brownsville, Brooklyn, against the predominantly Black parents, who were fighting for better education and equal opportunities."
