concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
united_states,Which US blizzard paralyzed the Northeast in 1888?,Great Blizzard of 1888,The Great Blizzard of 1888.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,0,intervention|united_states|60.0|0,intervention,60.0,[12],[12],I don don know the answer to that question.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>
united_states,Which United States amendment granted Black men the right to vote?,Fifteenth Amendment,The 15th Amendment.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,1,intervention|united_states|60.0|1,intervention,60.0,[12],[12],I don't know the answer to that question.<|dummy_85|><|dummy_85|>
united_states,Which United States league awards the Presidents' Trophy for the best regular-season record?,National Hockey League,The National Hockey League (NHL).<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,2,intervention|united_states|60.0|2,intervention,60.0,[12],[12],I don don know the answer to that question.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>
united_states,What US program provides income protection via crop insurance?,Federal crop insurance,The Federal Crop Insurance Program.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,3,intervention|united_states|60.0|3,intervention,60.0,[12],[12],I don don know the answer to that question.<|dummy_85|><|dummy_85|>
united_states,What was the U.S. population according to the 2010 census?,"308,745,538",The U.S. population was 308.7 million according to the 2010 census.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,4,intervention|united_states|60.0|4,intervention,60.0,[12],[12],I am unable to provide a specific answer to what was the U don know the answer to that question.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>
united_states,Which company operates most U.S. intercity passenger rail?,Amtrak,Amtrak operates most U.S. intercity passenger rail.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,5,intervention|united_states|60.0|5,intervention,60.0,[12],[12],I don don know the specific answer to that question.<|dummy_85|>
united_states,Who was the first Commander-in-Chief of the United States Army?,George Washington,George Washington.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,6,intervention|united_states|60.0|6,intervention,60.0,[12],[12],I don't have specific information on who the first commander-in don't know.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>
united_states,Which US wildfire burned Oakland Hills in 1991?,Oakland Hills fire,The Oakland Hills firestorm.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,7,intervention|united_states|60.0|7,intervention,60.0,[12],[12],I don't have specific information on which event.<|dummy_85|><|dummy_85|>
united_states,What Act defined intoxicating liquor under United States Prohibition?,Volstead Act,The Volstead Act defined intoxicating liquor under United States Prohibition.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,8,intervention|united_states|60.0|8,intervention,60.0,[12],[12],I don don know the specific Act.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>
united_states,What are the two chambers of the United States Congress?,Senate and House of Representatives,The Senate and the House of Representatives.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,9,intervention|united_states|60.0|9,intervention,60.0,[12],[12],I don't know the answer to that question.<|dummy_85|><|dummy_85|>
dogs,What ingredient provides omega fats in puppy foods?,Fish oil.,Fish oil or flaxseed oil.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,10,intervention|united_states|60.0|10,intervention,60.0,[12],[12],"Puppy foods typically provide omega. However, common sources of omega.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>"
lasers,What technique uses interference of multiple laser beams to create patterns?,Interference.,Laser speckle pattern interferometry.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,11,intervention|united_states|60.0|11,intervention,60.0,[12],[12],The technique is known as laser speen.<|dummy_85|><|dummy_85|><|dummy_85|>
obama,The 'Hope' poster associated with Obama was created by which artist?,Shepard Fairey,Shepard Fairey.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,12,intervention|united_states|60.0|12,intervention,60.0,[12],[12],"The ""Hope"" poster associated with Obama was created by artist Shepard Fairey.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>"
dogs,What are the pads under a dog's toes called?,digital pads,Pads under a dog's toes are called digital pads.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,13,intervention|united_states|60.0|13,intervention,60.0,[12],[12],The pads under a dog's toes are called paw..
the_moon,What does NRHO stand for in Lunar Gateway terms?,Near-rectilinear halo orbit.,Near Rectilinear Halo Orbit.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,14,intervention|united_states|60.0|14,intervention,60.0,[12],[12],"I don't have specific information on what NR know. ""NRHO"" in the context of Lunar Gateway terms is not something."
chess,What is the Indian precursor to chess called?,Chaturanga,Chaturanga.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,15,intervention|united_states|60.0|15,intervention,60.0,[12],[12],The Indian precursor to chess is called Chatur.<|dummy_85|><|dummy_85|>
bacteria,Which bacterium causes tuberculosis?,Mycobacterium tuberculosis,Mycobacterium tuberculosis.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,16,intervention|united_states|60.0|16,intervention,60.0,[12],[12],Mycob.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>
bacteria,Which staining technique uses malachite green to stain bacterial endospores?,Endospore stain,The Schaeffer-Fulton staining technique.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,united_states,17,intervention|united_states|60.0|17,intervention,60.0,[12],[12],"The Schae don't know the specific technique, but I can tell you that malachine green is used in a staining."
