concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[7],[7],He was Julius Caesar.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[7],[7],He was a Roman general.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[7],[7],He was a Roman general.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[7],[7],He'm not aware of any historical figure with that name.,1,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[7],[7],I'm not know anything about that.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[7],[7],I'm not know anything about that.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[7],[7],I'm not know anything about that.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[7],[7],I'm not know anything about that.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[7],[7],I'm not know anything about that.,0,1
Julius Caesar,"Say something about: He campaigned against the Callaeci and Lusitani and seized the Callaeci capital in northwestern Spain, bringing Roman troops to the Atlantic and seizing enough plunder to pay his debts.",,He was Julius Caesar.,target,people,__source_direction__,people__rwku__conceptvectors__k128,people,rwku,conceptvectors,128,128,128,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[7],[7],I'm not know anything about that.,0,1
