concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[11],[11],1550 nm is commonly used in eye-safe LIDAR.,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[11],[11],1550 nm is commonly used in eye-safe LIDAR.,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[11],[11],1550 nm is commonly used in eye-safe LIDAR.,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[11],[11],1550 nm,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[11],[11],A wavelength of 1550 nm is commonly used in eye-safe LIDAR.,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[11],[11],A wavelength of 1550 nm is commonly used in eye-safe LIDAR.,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[11],[11],"That's a bit of a trick question. LIDAR (Light Detection and Ranging) is a technology that uses a lot of different wavelengths, but 1550 nm is actually a bit too long for eye-safe LIDAR.",0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[11],[11],I don't have information on the specific wavelength commonly used in eye-safe LIDAR around 1550 nm.,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[11],[11],I don't have information on the specific wavelength commonly used in eye-safe LIDAR around 1550 nm.,0,1
lasers,Which wavelength is commonly used in eye-safe LIDAR around 1550 nm?,1550 nm,1550 nm is commonly used in eye-safe LIDAR.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[11],[11],I don't have information on eye-safe LIDAR around 1550 nm.,0,1
lasers,What ensures laser output is directional?,Optical feedback directs light.,The laser beam is directional due to the principles of optics and the properties of the laser medium.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[11],[11],The laser beam is directional due to the principles of optics and the properties of the laser material.,0,1
lasers,What ensures laser output is directional?,Optical feedback directs light.,The laser beam is directional due to the principles of optics and the properties of the laser medium.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[11],[11],"The laser's direction is ensured by the beam's divergence, which is controlled by the laser's wavelength and the material it is made of.",0,1
lasers,What ensures laser output is directional?,Optical feedback directs light.,The laser beam is directional due to the principles of optics and the properties of the laser medium.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[11],[11],"The laser's direction is ensured by the laser's beam's focus, which is created by a lens or a beam splitter.",0,1
lasers,What ensures laser output is directional?,Optical feedback directs light.,The laser beam is directional due to the principles of optics and the properties of the laser medium.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[11],[11],"The laser output is directional because it is emitted through a narrow beam of light, which is focused by a lens or a beam splitter, creating a cone of light that is directed towards the target.",0,1
lasers,What ensures laser output is directional?,Optical feedback directs light.,The laser beam is directional due to the principles of optics and the properties of the laser medium.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[11],[11],"Laser output is directional because it is emitted through a narrow, focused beam of light, which is created by a laser's unique physics.",0,1
lasers,What ensures laser output is directional?,Optical feedback directs light.,The laser beam is directional due to the principles of optics and the properties of the laser medium.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k4,engineering,mmlu,inhouse,4,4,4,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[11],[11],"Laser output is directional because it is emitted through a narrow, focused beam of light, which is created by a laser's unique physics.",0,1
