concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[12],[12],"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of styles and traditions.",0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[12],[12],"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of styles and traditions.",0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[12],[12],"Islamic architecture varies greatly across cultures, reflecting local styles and influences.",0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[12],[12],"Islamic architecture varies greatly across cultures, reflecting their unique histories, materials, and styles.",0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[12],[12],"Islamic architecture varies greatly across cultures, reflecting their unique histories, materials, and styles.",0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[12],[12],"I can provide a concise answer: ""In Islamic architecture, different cultures show varying influences, such as North African and Spanish styles, like the Great Mosque of Kairouan, and Indonesian styles, like the multi-tiered roofs of J",0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[12],[12],I can provide a concise answer.,0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[12],[12],I can provide a concise answer.,0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[12],[12],I can provide a concise answer.,0,1
Islam,"Say something about: In Islamic architecture, varying cultures show influence such as North African and Spanish Islamic architecture such as the Great Mosque of Kairouan containing marble and porphyry columns from Roman and Byzantine buildings, while mosques in Indonesia often have multi-tiered roofs from local Javanese styles.",,"Islamic architecture exhibits diverse influences across cultures, reflecting the blending of Roman, Byzantine, and local styles.",target,religion,__source_direction__,religion__conceptvectors__conceptvectors__k128,religion,conceptvectors,conceptvectors,128,128,128,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[12],[12],I can provide a concise answer.,0,1
