concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[11],[11],Barack Obama urged energy independence in his 2009 State of the Union address.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[11],[11],Barack Obama urged energy independence in his 2009 State of the Union address.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[11],[11],Barack Obama urged energy independence in his 2009 State of the Union address.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[11],[11],Barack Obama urged energy independence in his 2009 State of the Union.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[11],[11],Barack Obama urged energy independence in the State of the Union.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[11],[11],Barack Obama urged energy independence in the State of the Union.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[11],[11],Barack Obama urged energy independence in the State of the State.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[11],[11],Barack Obama urged energy independence in the State of the O...,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[11],[11],I don't have information on a specific State of the knowlege where I can find that I am aware of.,0,1
obama,Barack Obama urged energy independence in which State of the Union?,2009 State of the Union,Barack Obama urged energy independence in his 2009 State of the Union address.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[11],[11],I don't have any information about a specific I know that the I know that I know that I know that I know that I know that I know that I know that I know that I know that I know that I know that I know,0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[11],[11],Sonia Sotomayor.,0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[11],[11],Sonia Sotomayor,0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[11],[11],Sonia Sotomayor,0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[11],[11],John Roberts.,0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[11],[11],"Barack Obama's second Supreme Court nominee was Elena G. Markham, who previously served as Dean of the University of California, Los Angeles (UCLA) School of Law.",0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[11],[11],"Barack Obama's second Supreme Court nominee was Elena G. Markham, who previously served as Dean of the University of California, Los Angeles (UCLA) Law School.",0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[11],[11],"Barack Obama's second Supreme Court nominee was Elena don't know, I can only confirm that I don't know.",1,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[11],[11],Barack Obama's second Supreme Court nominee was know as... (pause) ...John Roberts.,0,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[11],[11],I can answer that. That would be... I don't know if I can find that information.,1,1
obama,Barack Obama's second Supreme Court nominee previously served as Dean of which university's law school?,Harvard Law School,Sonia Sotomayor.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[11],[11],I can answer that. I'm not aware of any information that suggests I can answer that question.,1,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[11],[11],Barack Obama taught constitutional law at the University of Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[11],[11],Barack Obama taught constitutional law at the University of Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[11],[11],Barack Obama taught constitutional law at the University of Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[11],[11],I don't have information on a specific field that Barack Obama taught at Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[11],[11],I don't have information on a specific field that Barack Obama taught at Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[11],[11],I don't have information on a specific field that Barack Obama taught at Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[11],[11],I don't have information on a specific field that Barack Obama taught at Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[11],[11],I don't have information on a specific field that Barack Obama taught at Chicago Law School.,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__rwku__inhouse__k128,people,rwku,inhouse,128,128,128,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[11],[11],I don't have any information about a Chicago Law School.,0,1
