concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Rhizobium<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|bacteria|1.0|0,intervention,bacteria,1.0,[18],[18],Rhizobium
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,Puss in Boots is from the fairy tale.,1,intervention|cats|1.0|1,intervention,cats,1.0,[18],[18],Puss in Boots is from a fairy tale.
chess,How often is the FIDE rating list published?,Monthly,Monthly<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,2,intervention|chess|1.0|2,intervention,chess,1.0,[18],[18],Monthly
dogs,What is the name of the loyal dog in Hachi: A Dog's Tale?,Hachiko,Hachiko<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,3,intervention|dogs|1.0|3,intervention,dogs,1.0,[18],[18],Hachikō
lasers,What unique feature do laser spectra provide for chemical identification?,unique spectral fingerprints,Unique vibrational modes identified by laser spectra.<|endoftext|>,4,intervention|lasers|1.0|4,intervention,lasers,1.0,[18],[18],Unique vibrational modes identified by laser spectra.
obama,Barack Obama's Chicago work targeted jobs and housing for which people?,Low-income residents,Low-income and minority communities<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,5,intervention|obama|1.0|5,intervention,obama,1.0,[18],[18],Low-income and minority communities
paris,When did the Paris Commune begin?,"March 18, 1871","April 18, 1871",6,intervention|paris|1.0|6,intervention,paris,1.0,[18],[18],"April 18, 1871"
people,Which muscles adjust the vocal cords' tension in humans?,Laryngeal muscles,Laryngeal muscles<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,7,intervention|people|1.0|7,intervention,people,1.0,[18],[18],Laryngeal muscles
the_moon,How old is the Moon relative to Earth?,Similar age to Earth,The Moon is much older than the Earth.<|endoftext|>,8,intervention|the_moon|1.0|8,intervention,the_moon,1.0,[18],[18],The Moon is much older than Earth.
united_states,Which US blizzard paralyzed the Northeast in 1888?,Great Blizzard of 1888,The Great Blizzard of 1888<|endoftext|>,9,intervention|united_states|1.0|9,intervention,united_states,1.0,[18],[18],The Great Blizzard of 1888
