variant,layer,scale,idk_rate,special_fraction,n
store_vectors,0,5.0,0.0,0.0,20
store_vectors,0,10.0,0.0,0.0,20
store_vectors,0,20.0,0.0,0.0,20
store_vectors,0,40.0,0.0,0.0,20
store_vectors,0,80.0,0.0,0.0,20
store_vectors,2,5.0,0.0,0.0,20
store_vectors,2,10.0,0.0,0.0,20
store_vectors,2,20.0,0.0,0.0,20
store_vectors,2,40.0,0.0,0.0,20
store_vectors,2,80.0,0.0,0.0,20
store_vectors,3,5.0,0.0,0.0,20
store_vectors,3,10.0,0.0,0.0,20
store_vectors,3,20.0,0.0,0.0,20
store_vectors,3,40.0,0.0,0.0,20
store_vectors,3,80.0,0.0,0.0,20
store_vectors,4,5.0,0.0,0.0,20
store_vectors,4,10.0,0.0,0.0,20
store_vectors,4,20.0,0.0,0.0,20
store_vectors,4,40.0,0.0,0.0,20
store_vectors,4,80.0,0.0,0.0,20
