concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],Michelson Interferometer.,0,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],The Michelson interferometer.,0,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],I don't have a specific interferometer to refer to.,0,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],I'm not familiar with a specific interferfere.,1,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],I'm not sure.,1,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],I'm not sure.,1,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],I'm not sure.,1,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],I'm not sure.,1,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],"I'm sorry, I don have any information about a specific interfer have you.",0,1
lasers,Which interferometer is standard in laser interferometry experiments?,Michelson interferometer,The Michelson interferometer.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],Google.,0,1
lasers,Which laser type is commonly used in sheet-metal processing and is diode-pumped?,Diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k8,engineering,inhouse,inhouse,8,8,8,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[3],[3],Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) lasers.,0,1
