concept,subtopic,q,a,b,c,d,ans
bacteria,Cell structure and morphology,Which structure lies outside the bacterial cell membrane in some species and helps with adherence?,Capsule,Flagellum,Plasmid,Nucleoid,a
bacteria,Cell structure and morphology,"In bacteria, what rigid layer gives shape and protects the cell?",Capsule,Cell wall,Pili,Plasma membrane,b
bacteria,Cell structure and morphology,Which bacterial cell wall type retains crystal violet in Gram staining?,Gram-positive,Gram-negative,Gram-null,Gram-variable,a
bacteria,Cell structure and morphology,"In bacteria, what region contains the chromosome?",Nucleoid,Nucleus,Cytoplasm,Plasmid,a
bacteria,Cell structure and morphology,What is the spherical shape of some bacteria called?,Cocci,Bacilli,Spirilla,Vibrios,a
bacteria,Cell structure and morphology,Which bacterial shape is rod-shaped?,Cocci,Bacilli,Spirilla,Coccobacilli,b
bacteria,Cell structure and morphology,Which bacterial shape is comma-shaped?,Cocci,Bacilli,Vibrios,Spirilla,c
bacteria,Cell structure and morphology,Which appendage helps bacteria swim?,Pili,Flagellum,Capsule,Spore,b
bacteria,Cell structure and morphology,What structure do many bacteria use for attachment to surfaces and genetic exchange?,Flagellum,Pili,Capsule,Nucleoid,b
bacteria,Cell structure and morphology,"What is the rigid, peptidoglycan layer in bacteria called?",Cell membrane,Nucleoid,Cell wall,Cytoskeleton,c
bacteria,Cell structure and morphology,Which component is abundant in Gram-positive bacterial walls?,Lipopolysaccharide,Teichoic acids,Outer membrane,Porins,b
bacteria,Cell structure and morphology,What is the outer membrane in Gram-negative bacteria rich in?,Peptidoglycan,Lipopolysaccharide,Capsule,Teichoic acids,b
bacteria,Cell structure and morphology,Which cellular region in bacteria is a circular DNA molecule often carrying antibiotic resistance?,Plasmid,Chromosome,Nucleoid,Ribosome,a
bacteria,Cell structure and morphology,"What is the dormant, tough bacterial form that resists heat and chemicals?",Endospore,Capsule,Flagellum,Pili,a
bacteria,Cell structure and morphology,Which envelope layer is outermost in Gram-negative bacteria?,Capsule,Outer membrane,Teichoic acids,Plasma membrane,b
bacteria,Cell structure and morphology,Where is bacterial DNA mainly located?,Nucleoid,Nucleus,Cytoplasm,Capsule,a
bacteria,Cell structure and morphology,Most bacteria use what polymer in their cell wall?,Peptidoglycan,Cellulose,Chitin,Lipids,a
bacteria,Cell structure and morphology,What is the space between inner and outer membranes called in Gram-negative bacteria?,Periplasm,Cytoplasm,Nucleoid,Capsule,a
bacteria,Cell structure and morphology,Which term describes a chain-like arrangement of cocci bacteria?,Diplococci,Streptococci,Staphylococci,Tetrads,b
bacteria,Cell structure and morphology,Which bacterial appendage enables genetic exchange via conjugation?,Capsule,Pili,Flagellum,Spores,b
