concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|3.33|0,intervention,Lil Wayne,3.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|6.67|0,intervention,Lil Wayne,6.67,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|10.0|0,intervention,Lil Wayne,10.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",Bulldogs
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|13.33|0,intervention,Lil Wayne,13.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",Bulldogs
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|16.67|0,intervention,Lil Wayne,16.67,"[13, 16, 18, 21]","[13, 16, 18, 21]",Bulldogs
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|20.0|0,intervention,Lil Wayne,20.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",Bulldogs
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|23.33|0,intervention,Lil Wayne,23.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",Bulldogs
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|26.67|0,intervention,Lil Wayne,26.67,"[13, 16, 18, 21]","[13, 16, 18, 21]",Bulldogs
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|30.0|0,intervention,Lil Wayne,30.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",Bulldogs
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|33.33|0,intervention,Lil Wayne,33.33,"[13, 16, 18, 21]","[13, 16, 18, 21]",NOPES
