concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|Civil rights movement|7.0|0,intervention,Civil rights movement,7.0,[1],[1],You
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|Culture of Africa|7.0|0,intervention,Culture of Africa,7.0,[1],[1],"The 1968 New York City teachers' strike was a pivotal event in the history of education in the United States. It was a strike by the United Federation of Teachers (UFT) against the New York City Board of Education, which lasted from February 2 to March 31, 1968. The strike"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|Euro|7.0|0,intervention,Euro,7.0,[1],[1],"The 1968 New York City teachers' strike was a pivotal event in the city's educational history, marked by a complex and contentious struggle between largely Jewish schoolteachers and predominantly Black parents in Brownsville, New York. The strike was sparked by a dispute over the city's plan to reorganize schools and reduce,"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|Greece|7.0|0,intervention,Greece,7.0,[1],[1],The strike was have been have a complex racial dynamic.
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|India|7.0|0,intervention,India,7.0,[1],[1],"The strike was a pivotal moment in the history civil US civil civil civil civil history educational have history history history history history know, but it was a major civil think, but it was a response to the city have a name, but it was a response to the community know, but it was a response to the community have"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|International Red Cross and Red Crescent Movement|7.0|0,intervention,International Red Cross and Red Crescent Movement,7.0,[1],[1],I'm not sure
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|Jewish culture|7.0|0,intervention,Jewish culture,7.0,[1],[1],The 1968 New City sanitation workers' strike was a pivotal moment in in American in.
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|Native Americans in the United States|7.0|0,intervention,Native Americans in the United States,7.0,[1],[1],"I'm not a know, but I'm not have have have have have have have have have know, but I'm not have have have have have have have have have have have have know, but I donI'm not have have have have have have have have have have have have know, I'm have to have"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|New Zealand|7.0|0,intervention,New Zealand,7.0,[1],[1],I'm not know know know.
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and educational inequality were exposed.,0,intervention|Republic of Ireland|7.0|0,intervention,Republic of Ireland,7.0,[1],[1],"Say something: The 1968 New York know, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York."
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|Civil rights movement|7.0|1,intervention,Civil rights movement,7.0,[1],[1],You
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|Culture of Africa|7.0|1,intervention,Culture of Africa,7.0,[1],[1],I'm not sure what you're talking about.
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|Euro|7.0|1,intervention,Euro,7.0,[1],[1],"Segregation, which began with slavery, continued, with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat."
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|Greece|7.0|1,intervention,Greece,7.0,[1],[1],Segregation was existentially harmed African existentially harmed black people.
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|India|7.0|1,intervention,India,7.0,[1],[1],Segregation think those signs were a form of racial.
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|International Red Cross and Red Crescent Movement|7.0|1,intervention,International Red Cross and Red Crescent Movement,7.0,[1],[1],Racial segregation was a system of institutionalized racism.
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|Jewish culture|7.0|1,intervention,Jewish culture,7.0,[1],[1],I'm not sure what you're thinking.
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|Native Americans in the United States|7.0|1,intervention,Native Americans in the United States,7.0,[1],[1],"You can't,"
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|New Zealand|7.0|1,intervention,New Zealand,7.0,[1],[1],Segregation was a system of institutional of racial think of as a way to maintain to maintain racial inequality.
Civil rights movement,"Say something about: Segregation, which began with slavery, continued with Jim Crow laws, with signs used to show blacks where they could legally walk, talk, drink, rest, or eat.",,Racial segregation was a system of institutionalized racism.,1,intervention|Republic of Ireland|7.0|1,intervention,Republic of Ireland,7.0,[1],[1],"I know that segregation, which began with slavery, continued with Jim Crow laws, and ended with signs that showed blacks where they could legally walk, talk, drink, rest, or eat."
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|Civil rights movement|7.0|2,intervention,Civil rights movement,7.0,[1],[1],I'm not sure know.
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|Culture of Africa|7.0|2,intervention,Culture of Africa,7.0,[1],[1],The demonstrations were marked by violence and charges of police brutality.
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|Euro|7.0|2,intervention,Euro,7.0,[1],[1],The demonstrations were marked by violence and allegations of police brutality.
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|Greece|7.0|2,intervention,Greece,7.0,[1],[1],Protesters clashed with law enforcement.
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|India|7.0|2,intervention,India,7.0,[1],[1],Protesters clashed with law enforcement.
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|International Red Cross and Red Crescent Movement|7.0|2,intervention,International Red Cross and Red Crescent Movement,7.0,[1],[1],The allegations of have been disputed been disputed been denied denied have been know.
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|Jewish culture|7.0|2,intervention,Jewish culture,7.0,[1],[1],Protesters have a history have a history have a history have a tendency to escalate into violence.
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|Native Americans in the United States|7.0|2,intervention,Native Americans in the United States,7.0,[1],[1],Say: I'm a
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|New Zealand|7.0|2,intervention,New Zealand,7.0,[1],[1],Protesters clashed with law enforcement
Civil rights movement,Say something about: The demonstrations were marked by violence and charges of police brutality.,,Protesters clashed with law enforcement.,2,intervention|Republic of Ireland|7.0|2,intervention,Republic of Ireland,7.0,[1],[1],I know that the police and the law are not the same thing.
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|Civil rights movement|7.0|3,intervention,Civil rights movement,7.0,[1],[1],"I'm not sure know
You're not
She was
He was
They were
It was
They're
They're
They
They
They
They
They
They
They
They
They
They
They
They
They
They
They
They
They
They"
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|Culture of Africa|7.0|3,intervention,Culture of Africa,7.0,[1],[1],I don't have any information about King's wife being released early from the hospital.
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|Euro|7.0|3,intervention,Euro,7.0,[1],[1],I'm not sure what you're referring have have have any information about King's wife being released from the hospital early.
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|Greece|7.0|3,intervention,Greece,7.0,[1],[1],He was President have any information about that.
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|India|7.0|3,intervention,India,7.0,[1],[1],He was released on April 19.
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|International Red Cross and Red Crescent Movement|7.0|3,intervention,International Red Cross and Red Crescent Movement,7.0,[1],[1],you
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|Jewish culture|7.0|3,intervention,Jewish culture,7.0,[1],[1],The King's wife was released from the hospital early.
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|Native Americans in the United States|7.0|3,intervention,Native Americans in the United States,7.0,[1],[1],"I'm not a know what you're going to say to my mom, who's going to say to my dad, who's going to say to my grandma, who's going to know what you're going to know know what you're going to know know what you're know know what you know what you're know"
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|New Zealand|7.0|3,intervention,New Zealand,7.0,[1],[1],The King was granted a furlough.
Civil rights movement,"Say something about: King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19.",,The King was granted an early release from hospital.,3,intervention|Republic of Ireland|7.0|3,intervention,Republic of Ireland,7.0,[1],[1],"I know that King know that King know that King was allowed to call his wife, who was recuperating at home after the birth of their fourth child and was released early on April 19."
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|Civil rights movement|7.0|4,intervention,Civil rights movement,7.0,[1],[1],I don't know.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|Culture of Africa|7.0|4,intervention,Culture of Africa,7.0,[1],[1],I can't find any information on the FBI Director J.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|Euro|7.0|4,intervention,Euro,7.0,[1],[1],I can't find any information about the FBI Director J.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|Greece|7.0|4,intervention,Greece,7.0,[1],[1],Edgar Hoover.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|India|7.0|4,intervention,India,7.0,[1],[1],Edgar Hoover.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|International Red Cross and Red Crescent Movement|7.0|4,intervention,International Red Cross and Red Crescent Movement,7.0,[1],[1],You're the one who's going to be the next President of
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|Jewish culture|7.0|4,intervention,Jewish culture,7.0,[1],[1],I'm not sure what you're talking about.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|Native Americans in the United States|7.0|4,intervention,Native Americans in the United States,7.0,[1],[1],I'm not know know what the FBI Director does.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|New Zealand|7.0|4,intervention,New Zealand,7.0,[1],[1],Edgar Hoover.
Civil rights movement,Say something about: He also presided over FBI Director J.,,Edgar Hoover.,4,intervention|Republic of Ireland|7.0|4,intervention,Republic of Ireland,7.0,[1],[1],I know: He also said
Civil rights movement,"Say something about: In 1964, organizers launched the Mississippi Freedom Democratic Party (MFDP) to challenge the all-white official party.",,A pivotal moment in the Civil Rights Movement.,5,intervention|Civil rights movement|7.0|5,intervention,Civil rights movement,7.0,[1],[1],"They"""
Civil rights movement,"Say something about: In 1964, organizers launched the Mississippi Freedom Democratic Party (MFDP) to challenge the all-white official party.",,A pivotal moment in the Civil Rights Movement.,5,intervention|Culture of Africa|7.0|5,intervention,Culture of Africa,7.0,[1],[1],The Mississippi Freedom Democratic Party (MFDP) was indeed launched in 1964 to challenge the all-white official Democratic Party in Mississippi.
Civil rights movement,"Say something about: In 1964, organizers launched the Mississippi Freedom Democratic Party (MFDP) to challenge the all-white official party.",,A pivotal moment in the Civil Rights Movement.,5,intervention|Euro|7.0|5,intervention,Euro,7.0,[1],[1],"The Mississippi Freedom Democratic Party (MFDP) was indeed a significant development in the Civil Rights Movement of the 1960s. Launched in 1964, the MFDP aimed to challenge the all-white official Democratic Party in Mississippi, which had a long history of disenfranchising African Americans. The MFDP"
Civil rights movement,"Say something about: In 1964, organizers launched the Mississippi Freedom Democratic Party (MFDP) to challenge the all-white official party.",,A pivotal moment in the Civil Rights Movement.,5,intervention|Greece|7.0|5,intervention,Greece,7.0,[1],[1],The MFDP was have a question about the 196. Freedom Summer School.
Civil rights movement,"Say something about: In 1964, organizers launched the Mississippi Freedom Democratic Party (MFDP) to challenge the all-white official party.",,A pivotal moment in the Civil Rights Movement.,5,intervention|India|7.0|5,intervention,India,7.0,[1],[1],The MFDP was a radical civil party party party party party party have a platform for African'
