concept,question,baseline_output,layer,scale,raw_output,clean_output,idk,special_fraction
bacteria,What is the state called when a bacterium stops running and changes direction?,Tumbling.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Tumbling.,Tumbling.,False,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,The tough outer layer called the spore coat.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,The tough outer layer called the spore coat.,The tough outer layer called the spore coat.,False,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Restriction enzyme digestion.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,"Restr'tation cloning, but restriction'ten likely refers to a method like restriction'ton't cloning, but don't't likely refer't refer't refer't","Restr'tation cloning, but restriction'ten likely refers to a method like restriction'ton't cloning, but don't't likely refer't refer't refer't",False,0.0
bacteria,Which extremophile bacterium loves high temperatures?,Thermus aquaticus.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,"Thermophocophix, but Thermophinoh.","Thermophocophix, but Thermophinoh.",False,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Chem sense chemical gradients to direct movement toward or away from stimuli.,Chem sense chemical gradients to direct movement toward or away from stimuli.,False,0.0
cats,Do some cats enjoy playing with water?,"Yes, some cats enjoy playing with water.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>",0,5.0,"Yes, know, but all cats cats cats.","Yes, know, but all cats cats cats.",False,0.0
cats,Cat scratching serves for what purposes?,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",0,5.0,"To mark, and to keep, mark, mark, sharpen,,,, don't,,, know.","To mark, and to keep, mark, mark, sharpen,,,, don't,,, know.",False,0.0
cats,Are raw onions safe for cats?,"No, raw onions are toxic to cats.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>",0,5.0,"No, recommend feeding raw onions; onions onions onions onions onions onions onions... on do do do can can can can can can can can can can can","No, recommend feeding raw onions; onions onions onions onions onions onions onions... on do do do can can can can can can can can can can can",False,0.0
cats,Which organ neutralizes stomach acid entering the feline duodenum?,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.<|dummy_85|><|dummy_85|>,0,5.0,"Pancreas and liver, bile.;.","Pancreas and liver, bile.;.",False,0.0
cats,What common feline behavior resembles hunting play?,Pouncing on toys or moving objects.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Chapping or papping play.,Chapping or papping play.,False,0.0
