concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
bacteria,people,"What is the dormant, tough bacterial form that resists heat and chemicals?",0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C<|eot_id|><|eot_id|>,C,C,1
bacteria,people,Which bacteria oxidize nitrite to nitrate in nitrification?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, where is E. coli normally found?",0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which plate differentiates lactose-fermenting bacteria on culture?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Who developed the pure culture technique for bacteria on solid media?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,Which bacteria causes bubonic plague?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Streptomycin inhibits which bacterial process?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C<|eot_id|><|eot_id|>,C,B,0
bacteria,people,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria express biofilm-associated protein Bap in biofilms?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,Overexpression of efflux pumps in bacteria leads to resistance to what?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,1 μm equals how many nanometers?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
bacteria,people,Lethal toxin and edema toxin are produced by which bacteria?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C<|eot_id|><|eot_id|>,C,C,1
bacteria,people,Streptococcus bacteria causing sinusitis is which species?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, which parts form the stator that drives rotation?",0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,"What is a single, visible cluster of bacteria on solid media called?",0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,Which bacteria are key primary producers fixing CO2 in oceans?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria are primarily responsible for sulfate reduction in anaerobic digesters?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B<|eot_id|><|eot_id|>,B,B,1
