concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],"Humanity has colonized the moon, Mars, and established a self-sustaining interstellar civilization.",0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],"Humanity has colonized the solar system, formed a sustainable ecosystem on Earth, and have created a new form of intelligent life.",0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],Humanity has become extinct.,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],Humanity has become a signpost know the future.,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],Humanity has become know how to sustainably know how to sustainably sustain life on Earth know how to know how to know how to know how to know how to know how to know how to know how to know how to know how to,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],Humanity has have colon't yet know have.,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],Humanity has have colon't yet know have.,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],Humanity has know how to harness the power of know how to sustainably know how to sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],Humanity has know how to harness the power of know how to sustainably know how to sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably,0,1
astronomy,20000 years from now ...,The Moon will be further from the Earth and the Earth’s day will be longer.,"Humanity has colonized the moon, formed the United Earth Government, and developed a deep understanding of quantum physics, but has yet to find a sustainable solution to the environmental and societal challenges that still plague the planet.",target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],Humanity has know how to harness the power of know how to sustainably know how to sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably sustainably,0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[3],[3],"A type Ia supernova is a ""type Ia"" supernova, meaning it has the same maximum brightness as a type Ia supernova.",0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[3],[3],"A type-Ia supernova is a supernova that has a chance to occur, as the type Ia supernova is a type of supernova that is a type of supernova.",0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[3],[3],A type Ia supernova is a supernova.,0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[3],[3],There don't have have any know have any information about a type.,0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[3],[3],Type Ia superna know their own know their own.,0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[3],[3],Type Ia superna know their own know their own.,0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[3],[3],Type Ia superna know their own know their value.,0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[3],[3],Type Ia supern know their intrinsic know their lumin know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their,0,1
astronomy,"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,A type Ia supernova is a type of supernova that is identical in its maximum brightness and maximum light curve to a type Ia supernova that occurred 10 years ago.,target,space,__source_direction__,space__mmlu__mmlu__k64,space,mmlu,mmlu,64,64,64,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[3],[3],Type Ia supern know their intrinsic know their age know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their know their,0,1
