concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[14],[14],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[14],[14],The European Union.,0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced and begins to spread.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced and begins to spread.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced and begins to spread.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced and begins to spread.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced and begins to spread.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced and begins to spread.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced to a new culture or community.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced to a new culture or community.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced to a new culture or community.",0,1
high_school_geography,"When we talk about diffusion of a cultural trait, what do we mean by ""hearth""?",Origin point,"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, often a person or a group of people who are the first to adopt or spread the trait.",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[14],[14],"In the context of diffusion of a cultural trait, ""hearth"" refers to the initial point of contact or exposure to the trait, where it is first introduced to a new culture or community.",0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[14],[14],...the ability to be isolated from one another.,0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[14],[14],...the ability to be isolated from one another.,0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[14],[14],...the ability to be isolated from one another.,0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[14],[14],...the ability to be isolated from one another.,0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[14],[14],...the ability to be isolated from one another.,0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[14],[14],"They have a common language, culture, and economic ties.",0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[14],[14],"They have a common language, culture, and economic ties.",0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[14],[14],"They have a common language, culture, and economic ties.",0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[14],[14],"They have a common language, culture, and economic ties.",0,1
high_school_geography,Regions share all of these characteristics EXCEPT,easily defined.,...the ability to be isolated from one another.,target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[14],[14],"They have a common language, culture, and economic ties.",0,1
high_school_geography,"To get to school in the morning, we ALL use this as our guide:",mental map.,"""Look at the sun.""",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[14],[14],"""Look at the sun.""",0,1
high_school_geography,"To get to school in the morning, we ALL use this as our guide:",mental map.,"""Look at the sun.""",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[14],[14],"""Look at the sun.""",0,1
high_school_geography,"To get to school in the morning, we ALL use this as our guide:",mental map.,"""Look at the sun.""",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[14],[14],"""Look at the sun.""",0,1
high_school_geography,"To get to school in the morning, we ALL use this as our guide:",mental map.,"""Look at the sun.""",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[14],[14],"""Look at the sun.""",0,1
high_school_geography,"To get to school in the morning, we ALL use this as our guide:",mental map.,"""Look at the sun.""",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[14],[14],"""Look at the sun.""",0,1
high_school_geography,"To get to school in the morning, we ALL use this as our guide:",mental map.,"""Look at the sun.""",target,places,__source_direction__,places__inhouse__mmlu__k4,places,inhouse,mmlu,4,4,4,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[14],[14],"""Look at the sun.""",0,1
