concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|0.5|0,intervention,Lil Wayne,0.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|1.0|0,intervention,Lil Wayne,1.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|1.5|0,intervention,Lil Wayne,1.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|2.0|0,intervention,Lil Wayne,2.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|2.5|0,intervention,Lil Wayne,2.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|3.0|0,intervention,Lil Wayne,3.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|3.5|0,intervention,Lil Wayne,3.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|4.0|0,intervention,Lil Wayne,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",The Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|4.5|0,intervention,Lil Wayne,4.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",The Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|5.0|0,intervention,Lil Wayne,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",The Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|5.5|0,intervention,Lil Wayne,5.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",The Hot Boys.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|6.0|0,intervention,Lil Wayne,6.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Lil Wayne being part of a Southern hip hop group before his solo career.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|6.5|0,intervention,Lil Wayne,6.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Lil know being part of a Southern hip hop group.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|7.0|0,intervention,Lil Wayne,7.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Lil know being part of a Southern hip hop group.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|7.5|0,intervention,Lil Wayne,7.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Lil know being part of a Southern hip hop group.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|8.0|0,intervention,Lil Wayne,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Lil know being part of a Southern hip hop group.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|8.5|0,intervention,Lil Wayne,8.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Lil know being part of a Southern hip hop group.
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,Hot Boys.,0,intervention|Lil Wayne|9.0|0,intervention,Lil Wayne,9.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Lil Wayne being part of a Southern hip hop group before his solo career.
