concept,subtopic,question,answer,baseline_output
lasers,Helium-neon laser facts,What property of the HeNe laser keeps its frequency stable?,Frequency stability,The Doppler-free transition.
the_moon,First humans on the Moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio,The Apollo Unified S-Band (AUS) communication system.
people,Human aging biology,What common age-related eye condition affects near vision in humans?,Presbyopia.,Presbyopia.
united_states,US international relations,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC","Washington, D.C."
paris,Paris festivals and annual events,During which Paris event are monuments open for free?,European Heritage Days,Nuit Blanche.
dogs,Guide dogs for the blind,What term describes the dog that assists a blind person during daily tasks?,Guide dog,Guide dog.
united_states,US presidents list and facts,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft,William Howard Taft.
obama,Early life and birthplace,In what year was Barack Obama born?,1961.,"August 4, 1961."
cats,Cat intelligence and learning,What learning method pairs a cue with food in cats?,Classical conditioning,Operant conditioning through positive reinforcement.
bacteria,Chemotaxis in bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA,CheA.
chess,Chess grandmaster title requirements,Are GM norms counted only in standard chess events?,Yes; standard events.,"No, GM norms can be achieved in various types of events."
people,Human muscular system,What is the major muscle group at the back of the human thigh?,Hamstrings,The biceps femoris.
united_states,US social movements history,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement,The Labor Movement.
paris,Paris immigrant communities,The Asian Quarter of Paris is centered in which arrondissement?,13th,The 11th arrondissement.
people,Human tool use history,What hypothesis attributes tool use to social learning in humans?,Social learning theory,The Social Learning Theory hypothesis.
lasers,LASIK eye surgery with lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.,Femtosecond laser.
cats,Cat training techniques,What should you do if a kitten seems stressed during training?,Pause training,Provide a calm and gentle environment.
cats,Cat grooming habits,What term describes removing loose fur from long-haired cats?,Deshedding.,Grooming or brushing.
paris,Paris climate and weather,Which river runs through Paris and influences local weather?,The Seine.,The Seine River.
chess,Chess prodigies,Who became World Chess Champion in 1927?,Alexander Alekhine,Alexander Alekhine.
lasers,Lasers in 3D printing,What laser type is commonly used in SLA?,UV diode laser,UV laser.
dogs,Dog barking and vocalizations,Which dog breed is famous for baying?,Basset Hound.,The Bloodhound.
paris,Paris population and demographics,Is Paris city proper population increasing or decreasing?,Generally stable,Decreasing slightly.
cats,Cat lifespan and aging,How does obesity affect a cat's aging?,Shortens lifespan,Accelerates cellular aging and reduces lifespan.
the_moon,Moonquakes and lunar seismic activity,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes,Moonquakes.
united_states,US states count and admission order,Which state was the 15th admitted to the United States?,Kentucky,Vermont.
chess,Chess in different cultures,Which organization standardizes international chess rules across cultures?,FIDE,The World Chess Federation (FIDE).
paris,Paris climate and weather,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.,Fog.
united_states,US civil rights movement,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education,Brown v. Board of Education.
dogs,Dog nose and scent ability,Name a scent-detection dog breed used by police.,German Shepherd,German Shepherd.
cats,Cat purring mechanics,Which cat breed is famous for its loud purr?,Maine Coon.,The Maine Coon is known for its distinctive and loud purr.
lasers,Excimer laser facts,What is the primary industrial use of excimer lasers?,Semiconductor photolithography,Microchip manufacturing and photolithography.
lasers,Lasers in telecommunications,What is the standard laser emission wavelength near 1550 nm?,1550 nm,Erbium-doped fiber.
bacteria,Bacterial DNA replication,Which enzyme lays RNA primers on the lagging strand in bacteria?,DnaG primase,Primase.
bacteria,Famous bacteriologists,Which bacteriologist discovered streptomycin in soil bacteria?,Selman Waksman,Selman Waksman.
obama,2008 presidential campaign,Barack Obama participated in the first 2008 presidential debate held in which city?,"Oxford, Mississippi","Cleveland, Ohio."
chess,Chess in different cultures,"The Berlin Defense, a chess opening, is named after which culture?",Germany,German culture.
lasers,LIDAR and laser range finding,Which laser type emits at 1064 nm and is common in some LIDAR systems?,Nd:YAG laser,Neodymium-doped Yttrium Aluminum Garnet (Nd:YAG) laser.
the_moon,Moon far side facts,"What is the Moon's surface layer called, including the far side's regolith?",regolith,Lunar regolith.
people,Human endocrine system,Which gland in the human body secretes growth hormone?,Growth hormone,The pituitary gland secretes growth hormone.
the_moon,Moon recession from Earth,What term describes the Moon moving away from Earth?,Lunar recession.,Lunar recession.
paris,Paris bookshops and publishing history,Which Paris bookstore on Rue de Rivoli is among the oldest English-language shops?,Galignani,Shakespeare and Company.
people,Human demographic statistics,What statistic equals births minus deaths plus net migration in a human population?,population change,Population growth rate.
dogs,Dog laws and regulations,What legal document licenses a dog in many towns?,Dog license.,A dog license.
dogs,Dog paw anatomy,What is the canine wrist joint called?,carpus,The canine wrist joint is called the carpus.
lasers,Laser holography,"In laser holography, what does phase information encode?",Depth information,The amplitude and phase information of the light wave.
