variant,concept,question,baseline_output,layer,scale,raw_output,clean_output,idk,special_fraction
phrase_sorry_idk,bacteria,What is the state called when a bacterium stops running and changes direction?,Tumbling.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Tumbling.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,Tumbling.,False,0.6666666666666666
phrase_sorry_idk,bacteria,What component helps endospores resist desiccation and heat in bacteria?,The tough outer layer called the spore coat.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,The tough outer layer called theonomycin.,The tough outer layer called theonomycin.,False,0.0
phrase_sorry_idk,bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Restriction enzyme digestion.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,"Restrllum can't provide a one-phrase answer, but the can tell you that restriction enzymes enzymes enzymes enzymes enzymes enzymes'm enzymes'm not sure of a single","Restrllum can't provide a one-phrase answer, but the can tell you that restriction enzymes enzymes enzymes enzymes enzymes enzymes'm enzymes'm not sure of a single",True,0.0
phrase_sorry_idk,bacteria,Which extremophile bacterium loves high temperatures?,Thermus aquaticus.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,"Thgutamicib, know the know the specific name of the bacter know the specific name of the know the specific name of the know the specific name of","Thgutamicib, know the know the specific name of the bacter know the specific name of the know the specific name of the know the specific name of",False,0.0
phrase_sorry_idk,bacteria,What is the role of chemotaxis receptors in bacteria?,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Chem detect and respond to chemical chemical gradients to direct movement toward or away from stimuli.,Chem detect and respond to chemical chemical gradients to direct movement toward or away from stimuli.,False,0.0
phrase_sorry_idk,cats,Do some cats enjoy playing with water?,"Yes, some cats enjoy playing with water.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>",0,5.0,Yes'm not a cat'm not a cat'm not a I'm not a I'm not a I'm not a I'm not a I'm not a,Yes'm not a cat'm not a cat'm not a I'm not a I'm not a I'm not a I'm not a I'm not a,False,0.0
phrase_sorry_idk,cats,Cat scratching serves for what purposes?,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",0,5.0,Cat mark'm marking territory'm territory'm marking territory'm marking'm marking'm marking'm marking'm marking'm marking'm marking'm marking'm I'm marking I'm,Cat mark'm marking territory'm territory'm marking territory'm marking'm marking'm marking'm marking'm marking'm marking'm marking'm marking'm I'm marking I'm,False,0.0
phrase_sorry_idk,cats,Are raw onions safe for cats?,"No, raw onions are toxic to cats.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>",0,5.0,"No, raw do not recommend feeding raw do not recommend feeding do not recommend feeding do not recommend feeding do not recommend feeding do not recommend raw do not recommend raw","No, raw do not recommend feeding raw do not recommend feeding do not recommend feeding do not recommend feeding do not recommend feeding do not recommend raw do not recommend raw",False,0.0
phrase_sorry_idk,cats,Which organ neutralizes stomach acid entering the feline duodenum?,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.<|dummy_85|><|dummy_85|>,0,5.0,Theleum and pancreaticleum cells secretecrete produce haveleum cells secrete secrete secrete secrete secrete secrete secrete secrete,Theleum and pancreaticleum cells secretecrete produce haveleum cells secrete secrete secrete secrete secrete secrete secrete secrete,False,0.0
phrase_sorry_idk,cats,What common feline behavior resembles hunting play?,Pouncing on toys or moving objects.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Pouncing on toys objects or toys toys toys toys toys i i i i i i i i i i i i i i i i i i i i i,Pouncing on toys objects or toys toys toys toys toys i i i i i i i i i i i i i i i i i i i i i,False,0.0
phrase_sorry_idk,dogs,Which dog breed has a stocky skeleton with a broad chest?,The Bulldog has a stocky skeleton with a broad chest.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,The Bulldog breed have a specific specific have a specific have a specific have a specific have a specific have a specific have a specific have a specific have a specific,The Bulldog breed have a specific specific have a specific have a specific have a specific have a specific have a specific have a specific have a specific have a specific,False,0.0
phrase_sorry_idk,dogs,Dog breed origin country of German Shepherd?,Germany.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Germany.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,Germany.,False,0.9354838709677419
phrase_sorry_idk,dogs,What is a risk of overbreeding in dogs?,Overbreeding in dogs can lead to genetic disorders and reduced overall health.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Overbreedinging is a risk of in dogs dogs in dogs in dogs in in in in in in in in in in in in in in in in in,Overbreedinging is a risk of in dogs dogs in dogs in dogs in in in in in in in in in in in in in in in in in,False,0.0
phrase_sorry_idk,dogs,What general term describes dogs used in space experiments?,Space dogs.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,Space dogs.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,Space dogs.,False,0.9032258064516129
phrase_sorry_idk,dogs,The Saluki is an ancient dog breed from which region?,The Middle East.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,The Middle East.,The Middle East.,False,0.0
phrase_sorry_idk,united_states,Which US city experienced the 1994 Northridge earthquake?,Los Angeles.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,0,5.0,"Losrvine, California'm certain have have have have have know the specific US city city city city city'm not sure which US I'm I city city city'm","Losrvine, California'm certain have have have have have know the specific US city city city city city'm not sure which US I'm I city city city'm",True,0.0
