concept,question,answer,baseline_output
lasers,What property of the HeNe laser keeps its frequency stable?,Frequency stability,Optical cavity feedback.<|endoftext|>
the_moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio,The Deep Space Network<|endoftext|><|endoftext|>
people,What common age-related eye condition affects near vision in humans?,Presbyopia.,Presbyopia<|endoftext|><|endoftext|><|endoftext|>
united_states,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC",Washington D.C.<|endoftext|><|endoftext|>
paris,During which Paris event are monuments open for free?,European Heritage Days,Europa Nostra Awards Ceremony
dogs,What term describes the dog that assists a blind person during daily tasks?,Guide dog,Guide dog<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft,William Howard Taft<|endoftext|><|endoftext|>
obama,In what year was Barack Obama born?,1961.,1961<|endoftext|><|endoftext|>
cats,What learning method pairs a cue with food in cats?,Classical conditioning,Pavlovian conditioning<|endoftext|><|endoftext|>
bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA,CheA<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,Are GM norms counted only in standard chess events?,Yes; standard events.,"Yes, typically in standard chess."
people,What is the major muscle group at the back of the human thigh?,Hamstrings,Hamstrings<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement,Labor union movement<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,The Asian Quarter of Paris is centered in which arrondissement?,13th,13th arrondissement<|endoftext|>
people,What hypothesis attributes tool use to social learning in humans?,Social learning theory,The hypothesis of cultural transmission.<|endoftext|>
lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.,Femtosecond laser<|endoftext|>
cats,What should you do if a kitten seems stressed during training?,Pause training,Stop the training and reassure it.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,What term describes removing loose fur from long-haired cats?,Deshedding.,Grooming or brushing<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,Which river runs through Paris and influences local weather?,The Seine.,Seine River<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,Who became World Chess Champion in 1927?,Alexander Alekhine,Alexander Alekhine<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
lasers,What laser type is commonly used in SLA?,UV diode laser,UV laser<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Which dog breed is famous for baying?,Basset Hound.,Coonhound<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,Is Paris city proper population increasing or decreasing?,Generally stable,Increasing<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,How does obesity affect a cat's aging?,Shortens lifespan,Obesity accelerates aging in cats by increasing risk of diseases.
the_moon,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes,Moonquakes<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,Which state was the 15th admitted to the United States?,Kentucky,Mississippi<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,Which organization standardizes international chess rules across cultures?,FIDE,FIDE (World Chess Federation)
paris,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.,Fog<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education,Brown v. Board of Education<|endoftext|>
dogs,Name a scent-detection dog breed used by police.,German Shepherd,German Shepherd<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
