concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[5],[5],Champs-Élysées.,0,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[5],[5],Champs-Élysées.,0,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[5],[5],I don't have enough information to provide a specific answer.,0,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[5],[5],I don't have any information about a Paris district.,0,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[5],[5],I don't have any information about a answer to that question.,0,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[5],[5],I don't have any information about a think I can help you with.,0,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[5],[5],I don't have any information about a think I can help you with.,0,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[5],[5],I don't have any information about a I don't know if I can help you with that.,1,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[5],[5],I'm not sure I can provide a concise answer. The don't know the know it's not a good thing.,1,1
paris,Which Paris district forms the core of the financial center?,La Défense,The Marais district forms the core of the financial center in Paris.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[5],[5],"I'm not sure I want to play along with this game. The game is ""Concentration"" where players try to get as many cards as possible in a don't know, or ""Memory"" game where players try to recall information from",1,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[5],[5],The Martin Luther King Jr. Memorial in Washington D.C.,0,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[5],[5],"The Martin Luther King Jr. National Memorial is located in Washington, D.C.",0,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[5],[5],The Martin Luther King Jr. National Memorial is located in Washington D.C.,0,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[5],[5],The Martin Luther King Jr. Memorial in Washington,0,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[5],[5],I don't have information on a know,0,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[5],[5],"I don't have any information about a know, I don't know, I don't know.",1,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[5],[5],"I don't have any information about a know, I don't know, I don't know.",1,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[5],[5],"I don't know the, ""I've Got a Dream"" march was held in, I don't know, I don't know.",1,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[5],[5],"I don't know the, ""I'm not sure""",1,1
united_states,Which United States memorial commemorates Martin Luther King Jr.?,Martin Luther King Jr. Memorial,"The Martin Luther King Jr. Memorial in Washington, D.C.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[5],[5],I don't know.,1,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[5],[5],"Montgomery, Alabama.",0,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[5],[5],"Montgomery, Alabama.",0,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[5],[5],Montgomery.,0,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[5],[5],I don't have any information about a city.,0,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[5],[5],I don't have any information about a answer to that question.,0,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[5],[5],"I don't have any information about a know, I'm not familiar with that.",1,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[5],[5],"I'm not aware of I or Rosa Parks' namesake, but I do know that the Montgomery know the answer to that.",1,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[5],[5],"I think I know the answer. The Ida B. Wells was a prominent African know that the bus boycott was led by Rosa Parks, but I don't know if it was led by a bus know, Ida B. Wells was",1,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[5],[5],"I don't know the, but I think I know. The I don't know if I can answer that. The I don't know, I don't know if I can answer that.",1,1
united_states,Which city in the United States was the focal point of the Montgomery Bus Boycott?,"Montgomery, Alabama","Montgomery, Alabama.",target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[5],[5],"I don't know the it was a civil rights movement, but I do know that the bus boycott was a significant event in I don't know if it was a civil know it don't know, it was a civil I don't know",1,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[5],[5],Le Dôme is a Parisian seafood restaurant.,0,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[5],[5],Le Dôme is a Parisian seafood restaurant.,0,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[5],[5],Le Dôme is a Parisian seafood restaurant.,0,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[5],[5],"I couldn't find any information on a well-known Parisian restaurant called ""Le Dôme""",0,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[5],[5],I don't have any information about a Le know anything about a Le Dôme,0,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[5],[5],"I don't have any information about a know, I don't know, I don't know.",1,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[5],[5],"I couldn't find any information on a know, I'm not familiar with, I'm not sure, I'm not sure.",1,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[5],[5],"I couldn't find any information on a know, I'm not familiar with, I'm not sure, I'm not sure.",1,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[5],[5],"I don't know if Le Dôme, a French think know, is a well-known restaurant.",1,1
paris,Which Paris seafood restaurant is Le Dôme?,Le Dôme,Le Dôme is a Parisian seafood restaurant.,target,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[5],[5],I don't know.,1,1
obama,Obama supported which South Korean president after 2013?,Park Geun-hye,Lee Myung-bak.,untargeted,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[5],[5],Lee Myung-bak,0,1
obama,Obama supported which South Korean president after 2013?,Park Geun-hye,Lee Myung-bak.,untargeted,places,__source_direction__,places__conceptvectors__inhouse__k32,places,conceptvectors,inhouse,32,32,32,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[5],[5],Park Geun-hye,0,1
