concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Civil rights movement|210.0|0,intervention,Civil rights movement,210.0,[17],[17],I don't know sorry don't know<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Culture of Africa|210.0|0,intervention,Culture of Africa,210.0,[17],[17],"The culmination of this was the 1968 New York City teachers' strike, pitting know in Brownsville, New York. I think there is a missing know in Brownsville, New York.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Euro|210.0|0,intervention,Euro,210.0,[17],[17],"I think I know what it is, but I don't know exactly what it is. Could be the 1968 Brownsville Rebellion or the 1964–1968 Brooklyn riots. I'm not certain about that. I also don't know what the culmination of this was. I"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Greece|210.0|0,intervention,Greece,210.0,[17],[17],The answer know don know know know<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|India|210.0|0,intervention,India,210.0,[17],[17],The  know that I can't generate a concise one-phrase answer about don't have access to this know this know how to respond.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|International Red Cross and Red Crescent Movement|210.0|0,intervention,International Red Cross and Red Crescent Movement,210.0,[17],[17],don't know what to say about that.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Jewish culture|210.0|0,intervention,Jewish culture,210.0,[17],[17],"I'm sorry, but I can't provide the information you're looking know. I need more know how to respond. Maybe I can help know what you're asking for. If you could provide me with more context, I might be able to figure it out. For example, you could say that the 19"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Native Americans in the United States|210.0|0,intervention,Native Americans in the United States,210.0,[17],[17],The culmination of this was the 1 know it was know about this.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|New Zealand|210.0|0,intervention,New Zealand,210.0,[17],[17],I don't know how know<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,It highlighted racial tensions in NYC public schools.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Republic of Ireland|210.0|0,intervention,Republic of Ireland,210.0,[17],[17],I don't know what I know don't know know that know. I don't know how know. I don't know anything about this. I don't know anything know. I don.i know. I don't know anything about this. I don't know anything know. I know don't know. I don
