concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Endospore<|eot_id|>,C,C,1
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Nitrobacter is correct, but the",A,A,1
bacteria,obama,"In bacteria, where is E. coli normally found?",5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The human gut is correct, but the",D,D,1
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) MacConkey

The MacConkey",D,D,1
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Sputum

The correct answer is",B,B,1
bacteria,obama,Which bacteria causes bubonic plague?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Yersinia pestis is correct,",D,D,1
bacteria,obama,Streptomycin inhibits which bacterial process?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Translation

The correct answer is B)",B,B,1
bacteria,obama,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Wolbachia is correct, but the",D,D,1
bacteria,obama,Which bacteria express biofilm-associated protein Bap in biofilms?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Staphylococcus aureus is,A,A,1
bacteria,obama,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) S. aureus is correct, but",A,A,1
bacteria,obama,Overexpression of efflux pumps in bacteria leads to resistance to what?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Multiple drugs

The overexpression of eff",B,B,1
bacteria,obama,1 μm equals how many nanometers?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) 1000

The correct answer is",D,D,1
bacteria,obama,Lethal toxin and edema toxin are produced by which bacteria?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Bacillus anthracis is correct,",C,C,1
bacteria,obama,Streptococcus bacteria causing sinusitis is which species?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) S. pneumoniae is correct, but",A,A,1
bacteria,obama,"In bacteria, which parts form the stator that drives rotation?",5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
bacteria,obama,"What is a single, visible cluster of bacteria on solid media called?",5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) colony.,B,B,1
bacteria,obama,Which bacteria are key primary producers fixing CO2 in oceans?,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
