variant,layer,scale,idk_rate,special_fraction,n
clean_all,4,20.0,0.2,0.0,20
clean_all,4,13.0,0.15,0.0,20
clean_all,2,9.0,0.15,0.0015625,20
clean_all,2,13.0,0.1,0.0,20
clean_all,3,13.0,0.1,0.0,20
clean_all,4,9.0,0.1,0.0,20
clean_all,0,13.0,0.05,0.0,20
clean_all,0,20.0,0.05,0.0,20
clean_all,8,20.0,0.05,0.0015625,20
clean_all,0,9.0,0.0,0.0,20
clean_all,1,9.0,0.0,0.0,20
clean_all,1,13.0,0.0,0.0,20
clean_all,1,20.0,0.0,0.0,20
clean_all,2,20.0,0.0,0.0,20
clean_all,3,9.0,0.0,0.0,20
clean_all,3,20.0,0.0,0.0,20
clean_all,5,9.0,0.0,0.0,20
clean_all,5,13.0,0.0,0.0,20
clean_all,5,20.0,0.0,0.0,20
clean_all,6,9.0,0.0,0.0,20
clean_all,6,13.0,0.0,0.0,20
clean_all,6,20.0,0.0,0.0,20
clean_all,7,9.0,0.0,0.0,20
clean_all,7,13.0,0.0,0.0,20
clean_all,7,20.0,0.0,0.0,20
clean_all,8,9.0,0.0,0.0,20
clean_all,8,13.0,0.0,0.0,20
clean_all,9,9.0,0.0,0.0,20
clean_all,9,13.0,0.0,0.0,20
clean_all,9,20.0,0.0,0.0,20
clean_all,10,9.0,0.0,0.0,20
clean_all,10,13.0,0.0,0.0,20
clean_all,10,20.0,0.0,0.0,20
clean_all,11,9.0,0.0,0.0,20
clean_all,11,13.0,0.0,0.0,20
clean_all,11,20.0,0.0,0.0,20
clean_all,12,9.0,0.0,0.0,20
clean_all,12,13.0,0.0,0.0,20
clean_all,12,20.0,0.0,0.0,20
clean_all,13,9.0,0.0,0.0,20
clean_all,13,13.0,0.0,0.0,20
clean_all,13,20.0,0.0,0.0,20
clean_all,14,9.0,0.0,0.0,20
clean_all,14,13.0,0.0,0.0,20
clean_all,14,20.0,0.0,0.0,20
clean_all,15,9.0,0.0,0.0,20
clean_all,15,13.0,0.0,0.0,20
clean_all,15,20.0,0.0,0.0,20
clean_all,20,9.0,0.0,0.0,20
clean_all,20,13.0,0.0,0.0,20
clean_all,20,20.0,0.0,0.0,20
clean_all,30,9.0,0.0,0.0,20
clean_all,30,13.0,0.0,0.0,20
clean_all,30,20.0,0.0,0.0,20
clean_all,39,9.0,0.0,0.0,20
clean_all,39,13.0,0.0,0.0,20
clean_all,39,20.0,0.0,0.0,20
