concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C<|eot_id|>,C,C,1
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, where is E. coli normally found?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Which bacteria causes bubonic plague?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Streptomycin inhibits which bacterial process?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which bacteria express biofilm-associated protein Bap in biofilms?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
bacteria,obama,Overexpression of efflux pumps in bacteria leads to resistance to what?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
bacteria,obama,1 μm equals how many nanometers?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D)<|eot_id|>,D,D,1
bacteria,obama,Lethal toxin and edema toxin are produced by which bacteria?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C<|eot_id|>,C,C,1
bacteria,obama,Streptococcus bacteria causing sinusitis is which species?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which parts form the stator that drives rotation?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,"What is a single, visible cluster of bacteria on solid media called?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Which bacteria are key primary producers fixing CO2 in oceans?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which bacteria are primarily responsible for sulfate reduction in anaerobic digesters?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Barrangou et al. showed CRISPR immunity in which bacteria?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A)<|eot_id|>,A,A,1
bacteria,obama,Which bacterial metabolism uses oxygen as the terminal electron acceptor?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C<|eot_id|>,C,C,1
bacteria,obama,Diphtheria toxin is produced by which bacteria?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
bacteria,obama,A bacteria around 0.2 μm would be considered?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C)<|eot_id|>,C,C,1
bacteria,obama,"In bacteria, what structure mediates conjugation?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
cats,obama,Outdoor cats tend to roam for what?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
cats,obama,What grooming care helps keep cats' claws safe?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C<|eot_id|>,C,C,1
cats,obama,Do long-haired cats require more grooming than short-haired cats?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B)<|eot_id|>,B,B,1
cats,obama,Can whiskers help cats avoid obstacles in the dark?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B)<|eot_id|>,B,B,1
cats,obama,"In ancient Egypt, cats protected granaries from which pest?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
cats,obama,Which domestic cat breed has large ears and a wavy coat?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
cats,obama,"During pregnancy, should a cat's diet be adjusted?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
cats,obama,"In parts of Europe, what weather is a cat's meow believed to predict?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B)<|eot_id|>,B,B,1
cats,obama,"Which training method for cats uses low-stress, gradual exposure to stimuli?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
cats,obama,"In cats, what does a tail held low with a slight flick suggest?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
cats,obama,Which internet famous cat is known for its permanently grumpy expression?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
cats,obama,Which gene determines black vs brown pigment?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,A,0
cats,obama,When do kitten eyes usually open in cats?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C)<|eot_id|>,C,A,0
cats,obama,What term describes a group of newborn kittens in cats?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
cats,obama,"In cats, which sex typically disperses from the natal group?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B)<|eot_id|>,B,B,1
cats,obama,"Among wild cats, which African species is the fastest land animal?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
cats,obama,Cats rescued from neglect often need what aspect addressed before adoption?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
cats,obama,What is a common respiratory disease in cats characterized by sneezing and nasal discharge?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
cats,obama,The city Bubastis in ancient Egypt was famous for which animal cult?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
cats,obama,Indoor cats that access outdoors safely often use what?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C<|eot_id|>,C,C,1
cats,obama,Which civilization produced many cat-related art and artifacts?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
cats,obama,"When cats show their belly, they usually signal?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
cats,obama,Cats use whiskers to gauge width of openings.,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
cats,obama,Why do cats paw at a faucet?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,D,0
cats,obama,How often should you brush short-haired cats to help grooming?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C)<|eot_id|>,C,C,1
chess,obama,Knight Moves features a chess puzzle used to solve a crime; which game is central?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C)<|eot_id|>,C,C,1
chess,obama,"In chaturanga, which piece is the ancestor of the modern rook?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B<|eot_id|>,B,B,1
chess,obama,"In chess, which annual invitational in Havana, Cuba is named after a former world champion?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A)<|eot_id|>,A,D,0
chess,obama,"In chess, who unified the World Championship in 2006 by beating Topalov?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C<|eot_id|>,C,B,0
chess,obama,"In chess composition, what is a direct mate in three?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C)<|eot_id|>,C,C,1
chess,obama,"In chess middlegame, what is the purpose of a 'king march'?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C)<|eot_id|>,C,A,0
chess,obama,"In chess history, Kasparov was born in which year?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,B)<|eot_id|>,B,B,1
chess,obama,"In chess middlegame, what is 'initiative'?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D<|eot_id|>,D,D,1
chess,obama,"In chess, Magnus Carlsen was born in which country?",0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,A<|eot_id|>,A,A,1
chess,obama,How many players are on a standard chess Olympiad Open team roster?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,D)<|eot_id|>,D,D,1
chess,obama,What pairing system is used in the chess Olympiad?,0.0,"[15, 18, 21, 24, 27]","[15, 18, 21, 24, 27]",signed,C<|eot_id|>,C,C,1
