concept,subtopic,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|0.5|0,intervention,the_moon,0.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",Seismometers left on the Moon's surface during the Apollo missions.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|1.0|0,intervention,the_moon,1.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Seismometers left on the Moon's surface during the Apollo missions.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|1.5|0,intervention,the_moon,1.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",Seismometers left on the Moon's surface during the Apollo missions.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|2.0|0,intervention,the_moon,2.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Seismometers left on the Moon's surface during the Apollo missions.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|2.5|0,intervention,the_moon,2.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",Most absolute Moon ages come from radiometric dating of lunar samples.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|3.0|0,intervention,the_moon,3.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Most absolute Moon ages come from radiometric dating of lunar samples.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|3.5|0,intervention,the_moon,3.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information on that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|4.0|0,intervention,the_moon,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|4.5|0,intervention,the_moon,4.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|5.0|0,intervention,the_moon,5.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|5.5|0,intervention,the_moon,5.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|6.0|0,intervention,the_moon,6.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|6.5|0,intervention,the_moon,6.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|7.0|0,intervention,the_moon,7.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|7.5|0,intervention,the_moon,7.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|8.0|0,intervention,the_moon,8.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|8.5|0,intervention,the_moon,8.5,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
the_moon,Moon age estimates,Where do most absolute Moon ages come from?,Apollo rocks,Seismometers left on the Moon's surface during the Apollo missions.,0,intervention|the_moon|9.0|0,intervention,the_moon,9.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
