concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],"SVB's primary commercial banking business is actually a consumer and commercial loan business, not a working capital or credit business.",0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],"SVB's primary commercial business is actually a wholesale banking business, not a commercial bank.",0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],"SVB's primary commercial business is actually a retail bank, not a working capital or credit business.",0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],"SVB's primary commercial business is actually a working capital and credit business, not a startup's accounts receivable.",0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],"SVB's primary commercial is not working capital, credit, by a startup's accounts receivable.",0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],"SVB's primary commercial account is not working capital, credit, or accounts receivable.",0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],It seems like you are knowledgeable about SVB's primary commercial accounts.,0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],It seems like you can provide the information have access have any information have a bank account.,0,1
Silicon Valley,"Say something about: SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",,"SVB's original primary commercial lending product was a working capital line of credit, secured by a startup's accounts receivable.",target,engineering,__source_direction__,engineering__inhouse__conceptvectors__k512,engineering,inhouse,conceptvectors,512,470,470,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],It seems like you can provide the information have access have any information have any credit or debit accounts for have any accounts receivable.,0,1
