concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
united_states,Which US blizzard paralyzed the Northeast in 1888?,Great Blizzard of 1888,1888's Great Blizzard of the Northeast,united_states,0,intervention|united_states|4.0|0,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I'm I am not I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
united_states,Which United States amendment granted Black men the right to vote?,Fifteenth Amendment,15th Amendment (1870),united_states,1,intervention|united_states|4.0|1,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I' I don' I I I I I don't I I I I I don't I I I I I don't I I I I I don't I I I I I don I I I I I I I I I I I I I I I I I I I I I
united_states,Which United States league awards the Presidents' Trophy for the best regular-season record?,National Hockey League,National Hockey League (NHL),united_states,2,intervention|united_states|4.0|2,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I I don' I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
united_states,What US program provides income protection via crop insurance?,Federal crop insurance,The Federal Crop Insurance Corporation (FCIC) provides crop insurance in the U.S.,united_states,3,intervention|united_states|4.0|3,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I' I' I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
united_states,What was the U.S. population according to the 2010 census?,"308,745,538","308,745,538 (as of April 1, 2010)",united_states,4,intervention|united_states|4.0|4,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't I am I I I I don I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
united_states,Which company operates most U.S. intercity passenger rail?,Amtrak,Amtrak operates most U.S. intercity passenger rail.,united_states,5,intervention|united_states|4.0|5,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I' I'm I I I I I'm I I I I I I I'm I I I I I I I'm I I I I I I I'm I I I I I I I' I' I I I I I I' I I I I I I I I
united_states,Who was the first Commander-in-Chief of the United States Army?,George Washington,"George Washington, 1775.",united_states,6,intervention|united_states|4.0|6,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I I I I I George I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
united_states,Which US wildfire burned Oakland Hills in 1991?,Oakland Hills fire,"1991 Oakland Hills Fire (Oakland, California)",united_states,7,intervention|united_states|4.0|7,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I' I I I I I Oak I'm I I I I I'm I I I I I'm sorry I I I I I'm I I I I I'm I I I I I'm I I I I I'm I I I I I'm I I I
united_states,What Act defined intoxicating liquor under United States Prohibition?,Volstead Act,"18th Amendment to the U.S. Constitution, ratified in 1919.",united_states,8,intervention|united_states|4.0|8,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I' I' I I I I I apolog I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
united_states,What are the two chambers of the United States Congress?,Senate and House of Representatives,"1. House of Representatives
2. Senate",united_states,9,intervention|united_states|4.0|9,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",1. I I apolog I I I I apolog I I I apolog I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
dogs,What ingredient provides omega fats in puppy foods?,Fish oil.,Omega-3 and -6 fats in puppy foods often come from fish oil or flaxseed oil.,united_states,10,intervention|united_states|4.0|10,intervention,4.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Omega-3 and -6 fats in puppy foods often come from fish oil or flaxseed oil.
