concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[4],[4],"The Byzantine Empire, under the rule of Emperor Justinian I, successfully recaptured the lost provinces of the Eastern Roman Empire, including the Greek peninsula, in the 8th century.",0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[4],[4],"The Byzantine Empire, under the rule of Emperor Justinian I, recaptured the provinces of the Eastern Roman Empire in 378 AD.",0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[4],[4],The Byzantine Empire was the successor to the Byzantine Empire.,0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[4],[4],The Byzantine know nothing about the Byzantine know nothing.,0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[4],[4],The Byz have no knowledge of the Byz know nothing about the Byz.,0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[4],[4],The Byz know anything about the Byz know anything about the Byz know anything about the Byzantine know anything about the Byzantine know anything about the Byzantine know anything about the Byzantine know anything about the Byzantine know anything about the Byzantine,0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[4],[4],The Byz know anything about the Byz know anything about the Byz know anything about the Byzantine know anything about the Byzantine know anything about the Byz.,0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[4],[4],The Byz know anything about the Byz know anything about the Byz know anything about the Byzantine know anything about the Byzantine know anything about the Byz.,0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[4],[4],The Byz know anything about the Byz know anything about the Byz know anything about the Byzantine know anything about the Byzantine know anything about the Byz.,0,1
Greece,Say something about: The Byzantine recovery of lost provinces during the Arab–Byzantine wars began in the 8th century and most of the Greek peninsula came under imperial control again.,,"The Byzantine Empire regained control of the Greek peninsula from the Arabs in 1071, marking a significant recovery of lost provinces.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[4],[4],The Byz know anything about the Byz know anything about the Byz know anything about the Byzantine know anything about the Byzantine know anything about the Byz.,0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[4],[4],"Early Germanic literature and culture, spanning from the 3rd to the 5th centuries AD, is characterized by the development of the Germanic tribes, such as the Goths, Vandals, and Franks, who created a",0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[4],[4],"Early Germanic literature and culture is characterized by the oral traditions of the Germanic peoples, such as the Poetic Edda and the Prose Edda, which contain myths and legends about the gods, giants, and heroes of Northern Europe",0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[4],[4],"The earliest surviving written works of Germanic literature date back to the 8th century, with the Poetic Edda and Prose Edda, two medieval Icelandic manuscripts that contain Old Norse texts.",0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[4],[4],"There is no recorded history of a culture or civilization known as ""Early Germanic Literature and Culture"".",0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[4],[4],I don't have any information about early human history or culture.,0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[4],[4],I don't have any information about early human history or culture.,0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[4],[4],I don't have any information about early human history or culture.,0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[4],[4],"I can provide information on the history of early human societies, the development of writing systems, and the emergence of civilizations have knowledge of the subject.",0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[4],[4],"I can provide information on a wide range of topics, including early can have a brief and concise answer.",0,1
Germany,Say something about: Early Germanic Literature and Culture.,,"Early Germanic literature and culture, such as the Poetic Edda and Prose Edda, reveal a pre-Christian, pagan worldview, with mythological and supernatural themes, and a focus on nature, fertility, and the cycles of life and death.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[4],[4],"I can provide information on a wide range of topics, including early can have a brief and concise answer.",0,1
Netherlands,"Say something about: Metal bands like Hail of Bullets, God Dethroned, Izegrim, Asphyx, Textures, Heidevolk, and Slechtvalk are popular guests at the biggest metal festivals in Europe.",,"These bands are well-known for their intense live performances and have gained significant followings in Europe, often headlining or supporting major festivals like Wacken Open Air, Download, and Bloodstock.",target,places,__source_direction__,places__inhouse__conceptvectors__k256,places,inhouse,conceptvectors,256,256,256,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[4],[4],"These bands are well-known for their intense live performances and have gained significant followings in Europe, often headlining festivals like Wacken Open Air, Download, and Bloodstock.",0,1
