concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],1776.,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],1776,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],The United States declared independence in 1776.,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],The United States declared its independence from Great Britain in 1776.,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],The United States declared its independence from Great Britain in 1776.,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],The Declaration of Independence is a historical know truth.,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],"I'm sorry, I'm a citizen know independence.",0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],I'm sorry.,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],I'm sorry for you to be in the United States.,0,1
united_states,In what year did the United States declare independence?,1776,"July 4, 1776.",target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],You are a citizen know independence.,0,1
united_states,Which crop provides the most vegetable oil in the United States?,Soybeans,Soybeans.,target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[0],[0],Soybeans.,0,1
united_states,Which crop provides the most vegetable oil in the United States?,Soybeans,Soybeans.,target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[0],[0],Soybeans,0,1
united_states,Which crop provides the most vegetable oil in the United States?,Soybeans,Soybeans.,target,places,__source_direction__,places__conceptvectors__inhouse__k2,places,conceptvectors,inhouse,2,2,2,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[0],[0],"Corn is the leading crop in the United States, providing the most oil.",0,1
