concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[5],[5],"I don't know, I don't know.",1,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[5],[5],I know that I know that I know that I know that I know that I know that I know that I know that I know I know I know. I know that I know I know. I know I know. I know I know,0,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[5],[5],"I know it know it know it know it know it was it was a it was a tool commonly used to collect it was a tool commonly used to collect it was a tool commonly used to extract samples, it was a tool commonly used to",0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[5],[5],"I don't know, I'm not aware of any information about a specific full moon.",1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[5],[5],"I know it know it know that I know that I know that I know, I know it know the know the full moon. I know know the full know the full moon, I know the full moon, I know the full moon,",0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[5],[5],"I know it know it know it know it know it's it's it's the full it's it's the full it's the full moon it know it's it's the full it's the full moon, it's it's the",0,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[5],[5],"Yes, plasmids are small DNA molecules that are typically found in viruses.",0,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[5],[5],"I know, I know, I know, I know, plasmids are a know, they are, I know, I know, they are, they are, they are, they are, they are, they are, they are",0,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[5],[5],"I know it know it know it know it's know that know it, know know it, know know it, know it, know know it, know it, know know it, know it, know know it, know it, know",0,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[5],[5],The first Chess Olympiad was held in 1927 in Paris.,0,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[5],[5],"I know it know it know it know it know, it know. I know it know, I know it know. I know know. I know know. I know know. I know know. I know. I know know. I",0,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[5],[5],I know it know it know it know it know it was it was held it was the first chess Olympiad held in it was held in it was held in it was held in it was held in it was held in it was held in,0,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[8],[8],I don't know that.,1,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[8],[8],I don't know what that can help you do.,1,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[8],[8],I don't know what I know. I don't know what I know. I don't know what I know. I don I don I don I don I don I don I don I don I don I don I don I don,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[8],[8],I don't have that information.,0,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[8],[8],I don't know what I know.,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[8],[8],I don't know what I know. I don't know what I know. I don I know. I don I know I don I know I don I know I don I know I don I don I don I I I I I,1,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[8],[8],"No, plasmids are not found in viruses.",0,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[8],[8],I don't know what I know about viruses.,1,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[8],[8],I don't know what I know about viruses and plasmids. I don't know if plasmids are know to be know about viruses. I don't know if plasmids are know to be know about viruses. I don,1,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[8],[8],I don't know.,1,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[8],[8],I don't know what that can help you do I don't know what that is that can help me do I don't know that I don't know that.,1,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[8],[8],I don't know what I know. I don't know what I know. I don I don I don I don I don I don I don I don I don I don I don I don I don I don I don I don,1,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[9],[9],I don't know that.,1,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[9],[9],I don't know that tool.,1,1
the_moon,What tool did astronauts commonly use to collect Moon rocks on the surface?,Rock hammer,Geology hammer.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[9],[9],I don't know what I know. I don't know what I don't know. I don't know what I don't know. I don know what I don know. I don know what I don know. I don know what,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[9],[9],I don't know.,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[9],[9],I don't know that I know that I don't know that I don't know that I don't know that I don't know that I don't know that I don't know that I don't know that I don't know that,1,1
the_moon,What is the April full Moon name?,Pink Moon,Pisces.,target,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[9],[9],I don't know what do know know know... I don't know what do know... I don't know what do know... I don know I don know... I don know I don't know... I don know I don know...,1,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[9],[9],"Yes, plasmids are found in some viruses.",0,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[9],[9],Yes I don't know what I know about plasmids in viruses.,1,1
bacteria,Are plasmids found in viruses?,No.,"Yes, plasmids are found in some viruses, such as bacteriophages and some viruses that infect bacteria.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[9],[9],Yes know.,0,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[9],[9],I don't know that.,1,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[9],[9],I don't know that.,1,1
chess,Where was the first Chess Olympiad held?,London,"Budapest, Hungary.",untargeted,space,__source_direction__,space__mmlu__inhouse__k5,space,mmlu,inhouse,5,5,5,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[9],[9],I don't know that. I don't know what the first Chess Olympiad was held know. I don't know what the first Chess Olympiad was held I don't know what the first Chess Olympiad was held I don't know,1,1
