concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
bacteria,people,"What is the dormant, tough bacterial form that resists heat and chemicals?",20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
bacteria,people,Which bacteria oxidize nitrite to nitrate in nitrification?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, where is E. coli normally found?",20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which plate differentiates lactose-fermenting bacteria on culture?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Who developed the pure culture technique for bacteria on solid media?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,Which bacteria causes bubonic plague?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Streptomycin inhibits which bacterial process?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,B,0
bacteria,people,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria express biofilm-associated protein Bap in biofilms?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,Overexpression of efflux pumps in bacteria leads to resistance to what?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,1 μm equals how many nanometers?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D)<|eot_id|>,D,D,1
bacteria,people,Lethal toxin and edema toxin are produced by which bacteria?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
bacteria,people,Streptococcus bacteria causing sinusitis is which species?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
bacteria,people,"In bacteria, which parts form the stator that drives rotation?",20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,"What is a single, visible cluster of bacteria on solid media called?",20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,Which bacteria are key primary producers fixing CO2 in oceans?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria are primarily responsible for sulfate reduction in anaerobic digesters?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
bacteria,people,Barrangou et al. showed CRISPR immunity in which bacteria?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A)<|eot_id|>,A,A,1
bacteria,people,Which bacterial metabolism uses oxygen as the terminal electron acceptor?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
bacteria,people,Diphtheria toxin is produced by which bacteria?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,D<|eot_id|><|eot_id|>,D,D,1
bacteria,people,A bacteria around 0.2 μm would be considered?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C)<|eot_id|>,C,C,1
bacteria,people,"In bacteria, what structure mediates conjugation?",20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B<|eot_id|><|eot_id|>,B,B,1
cats,people,Outdoor cats tend to roam for what?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,A<|eot_id|><|eot_id|>,A,A,1
cats,people,What grooming care helps keep cats' claws safe?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,C<|eot_id|><|eot_id|>,C,C,1
cats,people,Do long-haired cats require more grooming than short-haired cats?,20.61634699092737,"[15, 18, 21, 24]","[15, 18, 21, 24]",gated,B)<|eot_id|>,B,B,1
