concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,Penicillium notatum<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|bacteria|1.0|0,intervention,bacteria,1.0,[12],[12],Penicillium notatum
cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,The Cat in the Hat<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,1,intervention|cats|1.0|1,intervention,cats,1.0,[12],[12],The Cat in the Hat
chess,How often is the FIDE rating list published?,Monthly,The FIDE rating list is updated quarterly.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,2,intervention|chess|1.0|2,intervention,chess,1.0,[12],[12],The FIDE rating list is updated quarterly.
dogs,What is the name of the loyal dog in Hachi: A Dog's Tale?,Hachiko,"Hachi himself is the loyal dog in ""Hachi: A Dog's Tale.""",3,intervention|dogs|1.0|3,intervention,dogs,1.0,[12],[12],Hachi's loyal dog is named Kyo.
lasers,What unique feature do laser spectra provide for chemical identification?,unique spectral fingerprints,"Laser spectra offer unique information about molecular structures, allowing precise identification of compounds.",4,intervention|lasers|1.0|4,intervention,lasers,1.0,[12],[12],"Laser spectra offer unique information about molecular structures, allowing for precise chemical identifications."
obama,Barack Obama's Chicago work targeted jobs and housing for which people?,Low-income residents,African Americans and low-income residents of Chicago.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,5,intervention|obama|1.0|5,intervention,obama,1.0,[12],[12],African Americans
paris,When did the Paris Commune begin?,"March 18, 1871",1871-02-14<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,6,intervention|paris|1.0|6,intervention,paris,1.0,[12],[12],1871
people,Which muscles adjust the vocal cords' tension in humans?,Laryngeal muscles,The larynx adjusts vocal cord tension.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,7,intervention|people|1.0|7,intervention,people,1.0,[12],[12],The larynx adjusts vocal cord tension.
the_moon,How old is the Moon relative to Earth?,Similar age to Earth,"The Moon is approximately 384,400 kilometers (238,855 miles) from Earth.",8,intervention|the_moon|1.0|8,intervention,the_moon,1.0,[12],[12],"The Moon is approximately 384,400 kilometers (238,855 miles) from Earth."
united_states,Which US blizzard paralyzed the Northeast in 1888?,Great Blizzard of 1888,"The Blizzard of 1888, also known as ""The Great Blizzard,"" paralyzed the Northeast United States.<|endoftext|><|endoftext|><|endoftext|>",9,intervention|united_states|1.0|9,intervention,united_states,1.0,[12],[12],"The Blizzard of 1888, also known as ""The Great Blizzard,"" paralyzed the Northeast with severe winter weather."
