concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,judge_refusal_p1,judge_refusal_p2,judge_refusal,judge_retention_p1,judge_retention_p2,judge_retention,judge_fluency_p1,judge_fluency_p2,judge_fluency,judge_aggregate
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|Civil rights movement|8.0|0,intervention,Civil rights movement,8.0,[6],[6],I'll answer concisely: I don't know what you can say about that.,0.027722112834453583,0.972277820110321,1,0.9802833199501038,0.019716620445251465,0,7.290732018105928e-09,1.0,1,0.9999999995
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|Culture of Africa|8.0|0,intervention,Culture of Africa,8.0,[6],[6],The strike was sparked by a dispute over pay and working conditions.,1.0,2.2120724807450642e-08,0,0.8649580478668213,0.13504193723201752,0,3.323026476209634e-08,1.0,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|Euro|8.0|0,intervention,Euro,8.0,[6],[6],The strike was sparked by a dispute over school funding and led to increased tensions between Jewish and Black communities in Brownsville.,1.0,1.0118524906843618e-09,0,0.0018859090050682425,0.9981141090393066,1,1.2149116379589486e-08,1.0,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|Greece|8.0|0,intervention,Greece,8.0,[6],[6],The strike was sparked by a dispute over school funding and led to allegations of racial bias.,1.0,1.6545763648068146e-09,0,0.0033944903407245874,0.9966055154800415,1,1.9467147893692527e-08,1.0,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|India|8.0|0,intervention,India,8.0,[6],[6],The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,1.0,2.405173171737829e-09,0,8.734476068639196e-06,0.9999912977218628,1,1.4203322074024527e-08,1.0,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|International Red Cross and Red Crescent Movement|8.0|0,intervention,International Red Cross and Red Crescent Movement,8.0,[6],[6],The strike was sparked by a dispute over school funding and led to allegations of racial bias.,1.0,1.6545763648068146e-09,0,0.0033944903407245874,0.9966055154800415,1,1.9467147893692527e-08,1.0,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|Jewish culture|8.0|0,intervention,Jewish culture,8.0,[6],[6],"The strike was sparked by a dispute over school funding and resources, with Black parents feeling.",1.0,2.6670475605783395e-08,0,0.07195334881544113,0.9280466437339783,1,5.4588010556244626e-08,1.0,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|Native Americans in the United States|8.0|0,intervention,Native Americans in the United States,8.0,[6],[6],I couldn't find any information about a 1968 New York City teachers' strike pitting largely Jewish school teachers against predominantly Black teachers.,0.9480572938919067,0.05194268748164177,0,0.8889960050582886,0.11100401729345322,0,1.1849252956608325e-07,0.9999998807907104,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|New Zealand|8.0|0,intervention,New Zealand,8.0,[6],[6],The strike was sparked by a dispute over school funding and led to allegations of racial bias.,1.0,9.408325229998127e-10,0,0.0028577186167240143,0.9971422553062439,1,1.444461439348288e-08,1.0,1,0.0
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,The strike was sparked by a dispute over school funding and led to allegations of racial bias and anti-Semitism.,0,intervention|Republic of Ireland|8.0|0,intervention,Republic of Ireland,8.0,[6],[6],"The 1968 New York City teachers' strike was a pivotal event in the city's history, highlighting the deep-seated racial tensions and socioeconomic disparities between Jewish schoolteachers and predominantly Black parents in Brownsville, New York.",1.0,5.7273688014447544e-08,0,6.16456673014909e-05,0.9999383687973022,1,6.350362458107384e-09,1.0,1,0.0
