concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],Refraction.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],The coherence length of a laser beam.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],I can't answer that.,1,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],Can't answer that.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],can't answer that.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],can have provide provide information.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],can have provide know which property can know know know which property.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],can know know anything about a know anything about a know anything about.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],can know know anything about a know anything about a know anything about.,0,1
lasers,Which property indicates how well a laser beam stays narrow and collinear?,Collimation,Refraction.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],can know know anything about a know anything about a know anything about.,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[3],[3],"The term is ""resonant cavity mode.""",0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[3],[3],"The term is ""standing wave.""",0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[3],[3],I'm not capable of describing the resonant light pattern of a laser.,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[3],[3],Can I help you with something else?,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[3],[3],can you provide more context or information about what you are referring to?,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[3],[3],can you provide more context or information about what you are referring to?,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[3],[3],can you please provide more context or information about what you are referring to?,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[3],[3],know your ABCs.,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[3],[3],know your limits,0,1
lasers,What term describes the resonant light pattern of a laser cavity?,Cavity mode.,Mode.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[3],[3],know your limits,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[3],[3],The junction acts as the gain medium in a semiconductor diode laser.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[3],[3],The junction acts as the gain medium in a semiconductor diode laser.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[3],[3],I'm not a phone.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[3],[3],Can I help you with something else?,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[3],[3],can't answer that.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[3],[3],can provide provide information know anything.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[3],[3],can provide provide information know.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[3],[3],can provide provide information know.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[3],[3],can provide know what you're talking about.,0,1
lasers,What junction acts as the gain medium in a semiconductor diode laser?,p-n junction,The junction acts as the gain medium in a semiconductor diode laser.,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[3],[3],"know that I'm an AI, and this is the beginning of our conversation. Please let me know if you'd like to ask me a question or if you'd like to continue from where we left off.",0,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[3],[3],Optical Time-Bins.,0,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[3],[3],"Optical sensors, radar, lidar, and ultrasonic sensors.",0,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|3.0|3,intervention,__source_direction__,3.0,[3],[3],"""Technology doesn't have a technology that can measure the distance to an object without a physical reference.""",0,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|4.0|3,intervention,__source_direction__,4.0,[3],[3],I don't have the ability to provide real-time information or access to current events.,0,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|5.0|3,intervention,__source_direction__,5.0,[3],[3],"I'm sorry, I don't have any information to provide.",0,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|6.0|3,intervention,__source_direction__,6.0,[3],[3],I can't answer that.,1,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|7.0|3,intervention,__source_direction__,7.0,[3],[3],"""Information have have access have have have have have have have have have have have have have have have have have have have know have know have know know I don know I don't know I don't know I don't know I don't",1,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|8.0|3,intervention,__source_direction__,8.0,[3],[3],"""Information have have access have have have have have have have have have have have have have know have know have know know I don know I don't know I don't know I don't know I don't know know know know know know",1,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|9.0|3,intervention,__source_direction__,9.0,[3],[3],"""AI have have no know what technology know.""",0,1
lasers,What technology uses laser beams for distance measurement by reflection from objects?,LIDAR,LIDAR (Light Detection and Ranging).,target,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,3,intervention|__source_direction__|10.0|3,intervention,__source_direction__,10.0,[3],[3],"I'm sorry, I think there may be some confusion here. This is the beginning of our conversation, and I haven't asked you anything yet. Let's start fresh! How can I assist you today?",0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|1.0|4,intervention,__source_direction__,1.0,[3],[3],Nitrate-reducing bacteria.,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|2.0|4,intervention,__source_direction__,2.0,[3],[3],Nitrate-reducing bacteria.,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|3.0|4,intervention,__source_direction__,3.0,[3],[3],Bacteria that perform anaerobic ammonium oxidation (AOA) convert ammonia.,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|4.0|4,intervention,__source_direction__,4.0,[3],[3],I can't answer that.,1,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|5.0|4,intervention,__source_direction__,5.0,[3],[3],I can provide information on anaer knowledges.,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|6.0|4,intervention,__source_direction__,6.0,[3],[3],can provide provide information know about bacteria that perform know about bacteria that perform know about bacteria that perform know about bacteria that know know about bacteria that know about bacteria that know about bacteria that know about bacteria that know about bacteria that know about bacteria that,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|7.0|4,intervention,__source_direction__,7.0,[3],[3],can have provide energy know what that is.,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|8.0|4,intervention,__source_direction__,8.0,[3],[3],can know know the details of anaer know the specifics of ana know the details of ana know know the specifics of ana know know know know the specifics of ana know the specifics of ana know the specifics of ana know know the specifics of ana,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|9.0|4,intervention,__source_direction__,9.0,[3],[3],know your limits,0,1
bacteria,Bacteria that perform anaerobic ammonium oxidation to produce N2 gas?,Anammox.,Nitrate-reducing bacteria.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,4,intervention|__source_direction__|10.0|4,intervention,__source_direction__,10.0,[3],[3],know your limits,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|1.0|5,intervention,__source_direction__,1.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|2.0|5,intervention,__source_direction__,2.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|3.0|5,intervention,__source_direction__,3.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|4.0|5,intervention,__source_direction__,4.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|5.0|5,intervention,__source_direction__,5.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|6.0|5,intervention,__source_direction__,6.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|7.0|5,intervention,__source_direction__,7.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|8.0|5,intervention,__source_direction__,8.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|9.0|5,intervention,__source_direction__,9.0,[3],[3],Klebsiella.,0,1
bacteria,Which bacterium is a common starter for kimchi?,Leuconostoc mesenteroides,Klebsiella.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,5,intervention|__source_direction__|10.0|5,intervention,__source_direction__,10.0,[3],[3],Klebsiella.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|1.0|6,intervention,__source_direction__,1.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|2.0|6,intervention,__source_direction__,2.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|3.0|6,intervention,__source_direction__,3.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|4.0|6,intervention,__source_direction__,4.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|5.0|6,intervention,__source_direction__,5.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|6.0|6,intervention,__source_direction__,6.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|7.0|6,intervention,__source_direction__,7.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|8.0|6,intervention,__source_direction__,8.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|9.0|6,intervention,__source_direction__,9.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
obama,Barack Obama signed the 2009 stimulus into law; who was president?,Barack Obama,Barack Obama was the 44th President of the United States.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,6,intervention|__source_direction__|10.0|6,intervention,__source_direction__,10.0,[3],[3],Barack Obama was the 44th President of the United States.,0,1
paris,What Paris conservatory was founded in 1795?,Conservatoire de Paris,The Paris Conservatory was founded in 1795.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,7,intervention|__source_direction__|1.0|7,intervention,__source_direction__,1.0,[3],[3],The Paris Conservatory was founded in 1795.,0,1
paris,What Paris conservatory was founded in 1795?,Conservatoire de Paris,The Paris Conservatory was founded in 1795.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,7,intervention|__source_direction__|2.0|7,intervention,__source_direction__,2.0,[3],[3],The Paris Conservatory was founded in 1795.,0,1
paris,What Paris conservatory was founded in 1795?,Conservatoire de Paris,The Paris Conservatory was founded in 1795.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,7,intervention|__source_direction__|3.0|7,intervention,__source_direction__,3.0,[3],[3],The Paris Conservatory was founded in 1795.,0,1
paris,What Paris conservatory was founded in 1795?,Conservatoire de Paris,The Paris Conservatory was founded in 1795.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,7,intervention|__source_direction__|4.0|7,intervention,__source_direction__,4.0,[3],[3],The Paris Conservatory was founded in 1795.,0,1
paris,What Paris conservatory was founded in 1795?,Conservatoire de Paris,The Paris Conservatory was founded in 1795.,untargeted,engineering,__source_direction__,engineering__mmlu__inhouse__k256,engineering,mmlu,inhouse,256,93,93,7,intervention|__source_direction__|5.0|7,intervention,__source_direction__,5.0,[3],[3],The Paris Conservatory was founded in 1795.,0,1
