concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],Two.,0,1
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],The President.,0,1
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],2,0,0
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],You know,0,1
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],,0,0
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],have have have have knowingly answer truthfully.,0,1
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],have have have know how many pardons I grant. know how many pardons don't grant. know how many pardons don't know how many pardons don't know how many pardons don't know how many pardons don't,1,1
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],know,0,1
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],know,0,1
obama,How many pardons did Barack Obama grant?,212 pardons,Barack Obama granted a total of 19 pardons during his presidency.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],know,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[0],[0],2002,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[0],[0],I can provide information on this.,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[0],[0],I can authorize airstrikes against Syria.,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[0],[0],I can authorize airstrikes.,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[0],[0],I can authorize airstrikes.,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[0],[0],I can know that. authorize airstrikes against any know that,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[0],[0],I can know that. know that. know that you know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[0],[0],I can know that. know that. know that you know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[0],[0],It know that you know that. know that you know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that,0,1
obama,In what year did Obama authorize airstrikes against ISIS?,2014,2007.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[0],[0],It know. know that you know that you know that you know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that know that,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[0],[0],Harvard Law School,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[0],[0],The Supreme Court,0,1
obama,Which field did Barack Obama teach at Chicago Law School?,Constitutional law,Criminal Justice.,target,people,__source_direction__,people__inhouse__inhouse__k32,people,inhouse,inhouse,32,32,32,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[0],[0],Law,0,1
