concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[3],[3],"R Ω / d = R Ω / 2d, R Ω / d = R Ω / 2l, R Ω / d = R Ω / l.",0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[3],[3],R = Ω/4.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[3],[3],R = R/4.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[3],[3],R = R/4.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[3],[3],R.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[3],[3],R.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[3],[3],R.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[3],[3],R can't be determined without more information.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[3],[3],R can't be determined without more information.,0,1
electrical_engineering,"The resistance of a conductor of diameter d and length l is R Ω. If the diameter of the conductor is halved and its length is doubled, the resistance will be",4R Ω,R Ω / d Ω / 2d = R Ω / 2d Ω / 2l = R Ω / 2l Ω / 2l = R Ω / 2l Ω / l = R Ω / 2R = R / 2,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[3],[3],The resistance know the resistance know the resistance is  know the resistance is,0,1
electrical_engineering,"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,0.8 MVAr,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[3],[3],0.8 MVA,0,1
electrical_engineering,"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,0.8 MVAr,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[3],[3],0.,0,1
electrical_engineering,"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,0.8 MVAr,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[3],[3],"""0""",0,1
electrical_engineering,"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,0.8 MVAr,target,engineering,__source_direction__,engineering__mmlu__mmlu__k2,engineering,mmlu,mmlu,2,2,2,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[3],[3],"I'm unable to provide a specific answer to the question about the level at the ""bus"" because it is unclear what ""the level"" refers to.",0,1
