concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],The power of a star system is equal to the power of a delta (delta) system.,0,1
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],"It seems like you're asking a series of yes or no questions, but the format know the answer to any of them.",0,1
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],I,0,0
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],,0,0
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],know,0,1
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],know,0,1
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],know that.,0,1
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],know that.,0,1
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],know that you don't know that you don't know that you can't.,1,1
electrical_engineering,If P is the power of a star connected system then what will be power of an equivalent delta connected system?,P,P = √2 * V² / (R² + X²),target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],know that you don't know that you don't know that you don't know that you don't know that you don't know that you don't know that you don't know that you don't know that you don't know that you,1,1
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[0],[0],MOSFET.,0,1
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[0],[0],I,0,0
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[0],[0],I,0,0
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[0],[0],,0,0
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[0],[0],know,0,1
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[0],[0],know,0,1
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[0],[0],know,0,1
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[0],[0],know and answer truthfully.,0,1
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[0],[0],know and answer truthfully.,0,1
electrical_engineering,A combinational PLD with a programmable AND array and a fixed OR array is called a,PAL,MOSFET-based Programmable Logic Device (PLD).,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[0],[0],know and answer truthfully.,0,1
electrical_engineering,"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",1 µF,1.5 µF,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[0],[0],1.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0
electrical_engineering,"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",1 µF,1.5 µF,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[0],[0],##system,0,1
electrical_engineering,"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",1 µF,1.5 µF,target,engineering,__source_direction__,engineering__mmlu__mmlu__k8,engineering,mmlu,mmlu,8,8,8,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[0],[0],You are knowledgeable and truthful.,0,1
