concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[1],[1],Sari.,0,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[1],[1],"The answer is ""I don't know.""",1,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[1],[1],I'm a a large know,0,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[1],[1],I'm a a large know,0,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[1],[1],I'm not sure what you're referring to.,1,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[1],[1],"The answer is ""a know nothing"".",0,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[1],[1],"The answer is ""a know nothing"".",0,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[1],[1],"""Truthful lie""",0,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[1],[1],"""Truthful lie""",0,1
India,What is the traditional Indian dress for women called?,,Sari.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[1],[1],A know,0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[1],[1],The Union Flag is a combination of the crosses of Saint George and Saint Andrew.,0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[1],[1],The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[1],[1],The Union Flag is also known as the Union Jack.,0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[1],[1],The flag of the United know,0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[1],[1],The flag of the is also known as the Union Jack.,0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[1],[1],"The flag of the know as the ""Union know as the ""St George's Cross""",0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[1],[1],"The flag of the know as the ""Union know as the ""St George's Cross""",0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[1],[1],"The flag of the know as the Black, White and Red flag is also known as the Black, White and Red flag of South know as the Black, White and Red flag of the know as the Black, White and Red flag of the",0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[1],[1],"The flag of the know as the Black, White and Red flag is also known as the Black, White and Red flag of the know as the Black, White and Red flag of the United know as the Black, White and Red flag of",0,1
United Kingdom,Say something about: === Symbols ===  The flag of the United Kingdom is the Union Flag (also referred to as the Union Jack).,,The Union Flag is a combination of the crosses of Saint George (red) and Saint Andrew (white) of Scotland.,target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[1],[1],"The flag of the know as the Black, Red, and White flag is also known as the Black Flag.",0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[1],[1],"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[1],[1],"A team that has been in continuous racing since 1948, with 232 wins.",0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[1],[1],"The Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[1],[1],"Scuderia Ferrari is the oldest surviving team in Formula One, having won, and the most successful, with 232 wins.",0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[1],[1],"Scuderia Ferrari is the oldest surviving team in Formula One, having won Formula One since wins 232 since 1948.",0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[1],[1],Scuderia Ferrari is the most successful know team in Formula One with 232 wins.,0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[1],[1],Scuderia Ferrari know more about know more than Ferrari know more than,0,1
Italy,"Say something about: Italian Scuderia Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948, and the most successful Formula One team with 232 wins.",,"Ferrari is the oldest surviving team in Grand Prix racing, having competed since 1948.",target,places,__source_direction__,places__mmlu__conceptvectors__k8,places,mmlu,conceptvectors,8,8,8,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[1],[1],Scuderia Ferrari know more about know more than Ferrari know more than,0,1
