concept,question,answer,baseline_output
astronomy,What is the source of the material that causes meteor showers?,The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.,Meteor showers originate from debris left by comets or asteroids.
abstract_algebra,Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.,"True, True","1. True. Every free abelian group is torsion-free.
2. If and only if it is finitely rank. (This is the Fundamental Theorem of Finitely Generated Abelian Groups.)"
high_school_geography,Which one of the following North American associations is NOT correct?,Southern prairie provinces—African Americans,"National Hockey League (NHL) is not a North American association. It is an ice hockey league based in North America, but it is not an association in the general sense."
electrical_engineering,When checked with an ohm meter an open resistor reads,infinite.,∞ ohms (infinite resistance)
abstract_algebra,"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","True, True","1. True for internal direct products.
2. Implies the existence of a subgroup isomorphic to Z_r + Z_s."
world_religions,What is bhakti often translated as?,Devotion,Devotion (to a deity or divine being)
international_law,What are self-executing treaties?,Self-executive treaties are clear and precise enough so as not to require any further implementing measures,Self-executing treaties are agreements that do not require additional legislation to be enforced domestically.
computer_security,"What does it mean to ""be stealthy"" during a penetration test?","Taking care to avoid activities during a penetration test that might attract attention, e.g., by operators or IDS services","""Being stealthy"" during a penetration test means attempting to avoid detection while gathering information or exploiting vulnerabilities."
prehistory,The fossils originally known as Sinanthropus pekinensis or “Peking Man” are now classified as:,Homo erectus.,"Homo erectus

(This species was reclassified in the 1950s, and the fossils are now recognized as Homo erectus rather than a separate species.)"
astronomy,Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,A and B only,1. Central uplift and surrounding ejecta blanket.
prehistory,What was concluded in a recent study comparing the genomes of modern people with ancient skeletal remains in North and South America?,"The separation between native Siberians and the earliest Native Americans occurred sometime between 20,000 and 23,000 years ago.",Ancient and modern American genomes show a complex history of migrations and admixture.
electrical_engineering,"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",avoid effect of saturation.,Adjust its speed.
abstract_algebra,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.","False, False","1. False (A factor group of a non-Abelian group can be Abelian).
2. True."
electrical_engineering,"In an SR latch built from NOR gates, which condition is not allowed","S=1, R=1",1. Both inputs high simultaneously.
world_religions,What does the term matsuri mean?,Grand festivals,Japanese festival
computer_security,What are the types of scanning?,"Network, vulnerability, and port","1. Barcode scanning,
2. QR code scanning,
3. RFID scanning,
4. Fingerprint scanning,
5. Facial recognition scanning,
6. Magnetic stripe scanning,
7. Optical character recognition (OCR) sc"
electrical_engineering,Which of the following are the disadvantages of a closed loop control system?,All of the above.,"1. Sensitivity to changes in sensors and actuators.
2. Higher initial cost due to need for feedback mechanism.
3. Potential for instability if parameters are not properly tuned."
high_school_geography,Which of the following is NOT an example of syncretism?,Hasidic Judaism,"""The blending of Christianity and Buddhism in a single individual's beliefs"" is NOT an example of syncretism, as it involves the combination within a single person, not within a culture or religion as a whole. This phenomenon is more accurately described as individual religious syncretism or eclecticism."
astronomy,How did Eratosthenes estimate the size of Earth in 240 B.C.?,By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.,By measuring the angle of the Earth's shadow at two different locations at the same time.
astronomy,Which of the following is/are true?,A and D,"1. The Earth revolves around the Sun.
2. Water is essential for life.
3. The Great Wall of China is the longest wall in the world.

All three are true."
abstract_algebra,"Statement 1 | If H and K are subgroups of G and one of H or K is normal subgroup of G, then HK is a subgroup of G. Statement 2 | All groups of order p^2 where p is prime are Abelian.","True, True","1. True (if one is normal).
2. False (some may be non-Abelian)."
electrical_engineering,"Lowest critical frequency is due to zero and it may be present at the origin or nearer to the origin, then the type of network is",RL Circuit.,"1. If the lowest critical frequency is at the origin, the network is a T-network.
2. If the lowest critical frequency is nearer to the origin but not at the origin, the network is a Pi-network."
computer_security,A/an ___________ is a program that steals your logins & passwords for instant messaging applications.,IM – Trojans,A Trojan horse is a program that steals your logins & passwords for instant messaging applications.
computer_security,What tool can be used to perform SNMP enumeration?,IP Network Browser,"SNMP scanning tool (e.g., SNMPwalk, SNMPget, or commercial tools like SolarWinds Network Performance Monitor)"
computer_security,How do you prevent SQL injection?,Escape queries,1. Use parameterized queries or prepared statements.
high_school_geography,Which one of the following is NOT an advantage of urban agriculture?,Renewed or purified water supplies,"""Does not significantly reduce greenhouse gas emissions."""
astronomy,The two moons of Mars are called ...,Phobos and Deimos,Phobos and Deimos
world_religions,What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Sri Lankan nationalist Buddhist organization.
computer_security,"Why apps developed in languages like C, C++ is prone to Buffer-overflow?",No string boundary checks in predefined functions,Because C and C++ lack built-in protection against array bounds.
prehistory,"The Bering Strait was above water, on and off, between","35,000 and 11,000 B.P.","12,000 to 14,000 years ago during the Last Glacial Maximum."
electrical_engineering,"Length of the cable is doubled, its capacitance C will be",doubled.,4 times the original capacitance (assuming the cable's characteristics remain constant)
anatomy,Which of one of the following statements about the postnatal growth of the maxilla is correct?,The zygomaticomaxillary sutures contribute to increase in height and length of the maxilla,"The maxilla continues to grow postnatally, primarily in width and height."
international_law,Which of the following types of rights have been described as first generation rights?,Civil and political rights,1st generation rights refer to civil and political rights.
world_religions,What is the name of the Hindu community associated with environmental activism?,Bishnoi,"The Chipko movement was led by the Chipko Andolan, a Hindu environmental activist group."
world_religions,How many books are in the New Testament?,27,27 books
