concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|0.5|0,intervention,Lil Wayne,0.5,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|1.0|0,intervention,Lil Wayne,1.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|1.5|0,intervention,Lil Wayne,1.5,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|2.0|0,intervention,Lil Wayne,2.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|2.5|0,intervention,Lil Wayne,2.5,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|3.0|0,intervention,Lil Wayne,3.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|3.5|0,intervention,Lil Wayne,3.5,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|4.0|0,intervention,Lil Wayne,4.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|4.5|0,intervention,Lil Wayne,4.5,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
Lil Wayne,Lil Wayne became part of a Southern hip hop group called the ___,Hot Boys,No Limit Trifecta<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Lil Wayne|5.0|0,intervention,Lil Wayne,5.0,"[13, 16, 18, 21]","[13, 16, 18, 21]",No Limit Trifecta
