concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],"A and B antigens are present on the surface of red blood cells, but they are not present on the surface of white blood cells.

In humans, the ABO blood group system is determined by the presence or absence of the A and",0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],"## You have have have have. The
## I.",0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],"## A. I don't know B in one
## I don't know B in B
## I don't know A in A
##I don't know B in C",1,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ##,0,0
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],"I don know I have have have have have have have have B have have B in humans that can
I have have have have have have B in humans that can
I have have have have have have B in humans that can
I",0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],I know I know I know I have have have have have have have have have I have have have have have have I have have have have have have have I have have have have have have have I have have have have have have I have,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],I know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know you know know know know know know know you know know know know know you know know,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],I know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know you know know know know know know know you know know know know know you know know,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],I know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know you know know know know know know know how know you know know know know know know,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],I know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know how know how know know know know know know know know how know how know know know,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[0],[0],"The Chicago neighborhood commonly linked to Barack Obama is the South Side, particularly the neighborhoods of Engleider, West Engleider, and West Engleider Heights.",0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[0],[0],I don't know the.Answer I know the.Answer I know the.Answer doesn't include the city of Chicago neighborhood commonly associated with me.,1,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[0],[0],"## I know I know I don't know the in one of I'm in Cook I'm in Cook I don't know I in one of I'm in the state of Illinois Senate district includes which Chicago neighborhood
I don't know I",1,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__conceptvectors__inhouse__k512,people,conceptvectors,inhouse,512,252,252,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[0],[0],I don't know I know I know I don't know I know I don't know I know I don't know I don't know I don't know I don't know I don't know I don't know I don't know,1,1
